^SAMPLE = GSM2545594
!Sample_title = Ma-Mel-61b
!Sample_geo_accession = GSM2545594
!Sample_status = Public on May 24 2017
!Sample_submission_date = Mar 21 2017
!Sample_last_update_date = May 24 2017
!Sample_type = genomic
!Sample_channel_count = 1
!Sample_source_name_ch1 = melanoma cell line from LN metastasis
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = patient id: Ma-Mel-61
!Sample_characteristics_ch1 = tissue: melanoma cell line from LN metastasis
!Sample_growth_protocol_ch1 = Cell lines were grown according to standard conditions.
!Sample_molecule_ch1 = genomic DNA
!Sample_extract_protocol_ch1 = Genomic DNA was extracted from cell lines and peripheral blood cells using the Qiagen DNA Blood Mini Kit. DNA quality and quantity was assessed using a Nanodrop Spectrophotometer and PicoGreen
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = As per manufacturer (Affymetrix)
!Sample_hyb_protocol = DNA was restriction digested, PCR amplified, fragmented, labeled and hybridized to each array according to the manufacturer's instructions.
!Sample_scan_protocol = According to manufacturers instructions.
!Sample_description = CytoScanHD-Array
!Sample_data_processing = The array image was acquired using AffymetrixÂ® Chromosome Analysis Suite (ChAS) Software
!Sample_data_processing = Genotype Call (SNP call): AA, AB, BB, NC, and NoCall; 'Signal' = Summarized signal
!Sample_platform_id = GPL16131
!Sample_contact_name = Klaus,Georg,Griewank
!Sample_contact_department = Dermatology
!Sample_contact_institute = University of Duisburg-Essen
!Sample_contact_address = Hufelandstr. 55
!Sample_contact_city = Essen
!Sample_contact_zip/postal_code = 45147
!Sample_contact_country = Germany
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2545nnn/GSM2545594/suppl/GSM2545594_MaMel_61b_CytoScanHD_Array_.CEL.gz
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2545nnn/GSM2545594/suppl/GSM2545594_MaMel_61b_CytoScanHD_Array_.cyhd.cychp.gz
!Sample_series_id = GSE96884
!Sample_data_row_count = 2749693
#ID_REF = 
#VALUE = LOG2 RATIO
#WEIGHTED LOG2 RATIO = 
#SMOOTH SIGNAL = 
!sample_table_begin
ID_REF	VALUE	WEIGHTED LOG2 RATIO	SMOOTH SIGNAL
C-7SARK	-0.319904	-0.155971	1.687959
C-4WYLN	-0.011635	-0.056973	1.687340
C-3BFNY	-0.093131	-0.188253	1.687056
C-7ONNE	-0.066235	-0.089708	1.685551
C-6HYCN	0.005232	0.051641	1.685278
C-7SCGC	0.274233	0.149252	1.685057
C-7RZQQ	0.105357	0.017864	1.684812
C-7RZWZ	-0.052076	0.113991	1.684682
C-7SEBI	-0.004806	-0.138241	1.685342
C-7RZIL	-0.234532	-0.044217	1.683440
C-4NQTX	-0.053708	-0.170605	1.681165
C-7SDKW	-0.139398	-0.079380	1.680401
S-3WRNV	nan	nan	nan
C-7RXVK	-0.156500	-0.424151	1.680006
C-4LHKS	-0.238426	-0.336486	1.679031
C-7RWHE	-0.997853	-0.446394	1.678921
C-7SBEJ	-0.177331	-0.363063	1.678320
C-7RYJO	-0.580038	-0.226990	1.677952
C-7SEGS	-0.026800	-0.148740	1.677943
C-4LLXK	-0.053770	-0.227965	1.677983
!sample_table_end
