^SAMPLE = GSM2545597
!Sample_title = Ma-Mel-61g
!Sample_geo_accession = GSM2545597
!Sample_status = Public on May 24 2017
!Sample_submission_date = Mar 21 2017
!Sample_last_update_date = May 24 2017
!Sample_type = genomic
!Sample_channel_count = 1
!Sample_source_name_ch1 = melanoma cell line from LN metastasis
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = patient id: Ma-Mel-61
!Sample_characteristics_ch1 = tissue: melanoma cell line from LN metastasis
!Sample_growth_protocol_ch1 = Cell lines were grown according to standard conditions.
!Sample_molecule_ch1 = genomic DNA
!Sample_extract_protocol_ch1 = Genomic DNA was extracted from cell lines and peripheral blood cells using the Qiagen DNA Blood Mini Kit. DNA quality and quantity was assessed using a Nanodrop Spectrophotometer and PicoGreen
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = As per manufacturer (Affymetrix)
!Sample_hyb_protocol = DNA was restriction digested, PCR amplified, fragmented, labeled and hybridized to each array according to the manufacturer's instructions.
!Sample_scan_protocol = According to manufacturers instructions.
!Sample_description = CytoScanHD-Array
!Sample_data_processing = The array image was acquired using AffymetrixÂ® Chromosome Analysis Suite (ChAS) Software
!Sample_data_processing = Genotype Call (SNP call): AA, AB, BB, NC, and NoCall; 'Signal' = Summarized signal
!Sample_platform_id = GPL16131
!Sample_contact_name = Klaus,Georg,Griewank
!Sample_contact_department = Dermatology
!Sample_contact_institute = University of Duisburg-Essen
!Sample_contact_address = Hufelandstr. 55
!Sample_contact_city = Essen
!Sample_contact_zip/postal_code = 45147
!Sample_contact_country = Germany
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2545nnn/GSM2545597/suppl/GSM2545597_MaMel_61g_CytoScanHD_Array_.CEL.gz
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2545nnn/GSM2545597/suppl/GSM2545597_MaMel_61g_CytoScanHD_Array_.cyhd.cychp.gz
!Sample_series_id = GSE96884
!Sample_data_row_count = 2749693
#ID_REF = 
#VALUE = LOG2 RATIO
#WEIGHTED LOG2 RATIO = 
#SMOOTH SIGNAL = 
!sample_table_begin
ID_REF	VALUE	WEIGHTED LOG2 RATIO	SMOOTH SIGNAL
C-7SARK	-0.197387	0.020236	2.442355
C-4WYLN	0.218878	0.162704	2.441763
C-3BFNY	0.017342	-0.013871	2.440465
C-7ONNE	0.256463	0.126229	2.439905
C-6HYCN	0.033768	0.083727	2.441212
C-7SCGC	0.189888	0.219129	2.441137
C-7RZQQ	0.176416	0.043558	2.440643
C-7RZWZ	0.118337	0.171994	2.441386
C-7SEBI	0.242434	0.136418	2.443422
C-7RZIL	0.214688	0.255736	2.440413
C-4NQTX	0.071085	0.090995	2.437732
C-7SDKW	0.154138	0.199197	2.436397
S-3WRNV	nan	nan	nan
C-7RXVK	0.036710	-0.167917	2.435557
C-4LHKS	0.335612	-0.072618	2.434787
C-7RWHE	-0.960590	-0.206793	2.434625
C-7SBEJ	0.015002	-0.125915	2.434719
C-7RYJO	0.331733	0.319618	2.434734
C-7SEGS	0.140314	0.384874	2.434051
C-4LLXK	0.346583	0.301964	2.434406
!sample_table_end
