^SAMPLE = GSM365862
!Sample_title = Sample 400 - Cell line
!Sample_geo_accession = GSM365862
!Sample_status = Public on Jan 31 2009
!Sample_submission_date = Jan 30 2009
!Sample_last_update_date = Jan 30 2009
!Sample_type = genomic
!Sample_channel_count = 1
!Sample_source_name_ch1 = Human neuroblastoma derived cell line
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = Phenotype: High-risk neuroblastoma
!Sample_molecule_ch1 = genomic DNA
!Sample_extract_protocol_ch1 = DNA was extracted from tumor tissue, cell lines, and blood samples using the Qiagen method. Cryopreserved cell lines which had been established at the time of initial diagnosis as previously described, passaged not more than 4-5 times, were thawed and grown in culture for at most two passages in RPMI media with 10% FBS. When 80 to 90% confluent, cells were collected by trypsinization, and pelleted by centrifugation at 3500 rpm for 3 minutes. DNA was extracted using the Qiagen kit
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = The Affymetrix 100K SNP array was used for all experiments, according to the methods described by the manufacturer (http://www.affymetrix.com). Briefly, 250 ng of tumor, cell line and control DNA were each digested with the appropriate restriction enzyme (Hind III/Xba1) and ligated to an adaptor sequence (Xba/Hind). For each sample, the ligated DNA was PCR amplified under recommended conditions, using primers complementary to the adapters. Purified PCR products were fragmented and end-labeled with biotinylated ddATP, using terminal deoxynucleotidyl transferase.
!Sample_hyb_protocol = The labeled DNA was hybridized to the 100K SNP chips, washed, incubated with streptavidin, and stained with biotinylated antistreptavidin antibody and a streptavidin R-phycoerythrin conjugate.
!Sample_scan_protocol = The chips were scanned with an HP scanner (Hewlett-Packard, Palo Alto, CA) according to the manufacturer's recommendations.
!Sample_description = 03H_400C_h.CEL
!Sample_data_processing = Affymetrix genotyping software (Affymetrix GeneChip 5.0) was used to examine the SNP hybridization patterns and to make SNP calls of all loci in each of the tumor samples and their corresponding matched controls.
!Sample_data_processing = Analysis_of_LOH: The resulting data were analyzed with the dChip software package, freely available from http://www.dchip.org. At each locus, an LOH call was assigned through the following rules: LOH (AB in blood, A or B in tumor/cell line; blue), ROH or retention of heterozygosity (AB in both blood and tumor/cell line; yellow)]; non-informative (A or B in blood; gray); no call (SNP no call in either blood or tumor/cell line; white), or conflict A or B in blood, B or A or AB in tumor/cell line; red). Larger areas of LOH were obtained by using hidden Markov models to infer the LOH status at non-informative SNPs.
!Sample_data_processing = Measurement_of_DNA_Copy_Number_Change: Copy number changes were calculated by comparing the normal and tumor samples, using the dChip software as previously described. The patient blood samples were averaged for use as normal for copy number comparison. As in our previous work, copy number gain was defined as between 2.8 and 5 copies. Amplification was defined as more than 5 copies, and copy number loss was defined as less than 1.2 copies.
!Sample_data_processing = Data_Analysis: LOH data and inferred copy number data were exported from dChip for subsequent analysis. Further data manipulation was performed using Python scripts (http://www.python.org). A custom suite of Python scripts was developed to manipulate and analyze dChip-exported SNP and LOH data. Furthermore, visualization tools were created that facilitated the display of copy number changes and LOH events throughout the genome.
!Sample_platform_id = GPL2004
!Sample_contact_name = Samuel,,Volchenboum
!Sample_contact_email = slv@uchicago.edu
!Sample_contact_phone = 773-702-4303
!Sample_contact_institute = University of Chicago
!Sample_contact_address = 5640 S. Ellis RI405
!Sample_contact_city = Chicago
!Sample_contact_state = IL
!Sample_contact_zip/postal_code = IL
!Sample_contact_country = USA
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM365nnn/GSM365862/suppl/GSM365862.CEL.gz
!Sample_series_id = GSE14656
!Sample_data_row_count = 57244
#ID_REF = 
#RAS1 = 
#RAS2 = 
#VALUE = Call
#Call Zone = 
!sample_table_begin
ID_REF	RAS1	RAS2	VALUE	Call Zone
SNP_A-1712762	0.0005	0.9995	AA	0.000488
SNP_A-1718890	0.998	0.8887	BB	0.111328
SNP_A-1668776	0.9995	0.9995	BB	0.000488
SNP_A-1723597	0.0005	0.9995	AA	0.000488
SNP_A-1728870	0.0015	0.9985	AA	0.001465
SNP_A-1669946	0.9995	0.9961	BB	0.003906
SNP_A-1708099	0.0005	0.9995	AA	0.000488
SNP_A-1716798	0.999	0.9951	BB	0.004883
SNP_A-1701872	0.9995	0.9985	BB	0.001465
SNP_A-1697748	0.9995	0.9961	BB	0.003906
SNP_A-1699138	0.0117	0.9883	AA	0.011719
SNP_A-1750020	0.9995	0.9985	BB	0.001465
SNP_A-1646481	0.9995	0.9995	BB	0.000488
SNP_A-1701882	0.0039	0.9961	AA	0.003906
SNP_A-1701982	0.0005	0.9995	AA	0.000488
SNP_A-1749896	0.0005	0.9995	AA	0.000488
SNP_A-1750090	0.9995	0.9409	BB	0.059082
SNP_A-1714480	0.9995	0.9785	BB	0.021484
SNP_A-1649717	0.9995	0.9985	BB	0.001465
SNP_A-1703834	0.9995	0.9995	BB	0.000488
!sample_table_end
