^SAMPLE = GSM693637
!Sample_title = Chronic Lymphocytic Leukemia_diagnostic sample_patient SCAN624
!Sample_geo_accession = GSM693637
!Sample_status = Public on Apr 28 2011
!Sample_submission_date = Mar 17 2011
!Sample_last_update_date = Apr 28 2011
!Sample_type = genomic
!Sample_channel_count = 1
!Sample_source_name_ch1 = CLL cells from periferal blood sample
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = hiearchical model of known recurrent aberrations: del(13q)
!Sample_molecule_ch1 = genomic DNA
!Sample_extract_protocol_ch1 = Genomic DNA was extracted from mononuclear cell preparations of obtained from peripheral blood at diagnosis using the Qiagen DNA Blood Mini Kit. DNA quality and quantity was assessed using a Nanodrop Spectrophotometer.
!Sample_label_ch1 = Biotin
!Sample_label_protocol_ch1 = As per manufacturer (Affymetrix)
!Sample_hyb_protocol = DNA was restriction digested, PCR amplified, fragmented, labeled and hybridized to each array according to the manufacturer's instructions.
!Sample_scan_protocol = The Arrays were washed using Affymetrix fluidics stations, and scanned using the Gene Chip Scanner 3000.
!Sample_data_processing = Quality control (QC), genotype calling and probe level normalization were performed in the Affymetrix GeneChipÂ® Genotyping Analysis Software (GTYPE) 4.1. The Dynamic Model (DM) algorithm was used to perform single sample QC and genotype calls were made using BRLMM (34). Copy number normalization was performed in order to produce log2ratios using the Copy Number Analysis Tool (CNAT) 4.0.1. Eighty-two normal samples analyzed at the Uppsala Array Platform were used as reference set.
!Sample_data_processing = Standard Affymetrix CNCHP files with Log2 probe intenisities relative to reference
!Sample_platform_id = GPL3718
!Sample_contact_name = Anders,,Isaksson
!Sample_contact_email = anders.isaksson@medsci.uu.se
!Sample_contact_institute = Uppsala University
!Sample_contact_address = Akademiska sjukhuset ing61 3tr
!Sample_contact_city = Uppsala
!Sample_contact_zip/postal_code = 75185
!Sample_contact_country = Sweden
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM693nnn/GSM693637/suppl/GSM693637.CEL.gz
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM693nnn/GSM693637/suppl/GSM693637.cnchp.gz
!Sample_series_id = GSE28030
!Sample_data_row_count = 262217
#ID_REF = 
#VALUE = CN STATE
#CHROMOSOME = 
#POSITION = 
#LOG2 RATIO = 
#HMM MEDIAN LOG2 RATIO = 
#NEG LOG10 P-VALUE = 
!sample_table_begin
ID_REF	VALUE	CHROMOSOME	POSITION	LOG2 RATIO	HMM MEDIAN LOG2 RATIO	NEG LOG10 P-VALUE
SNP_A-1886933	NC	1	775852	-0.047282	0.067224	nan
SNP_A-1902458	NC	1	1120590	0.181729	0.067224	nan
SNP_A-2131660	NC	1	1145994	0.313282	0.067224	nan
SNP_A-4221087	NC	1	1258710	-0.071712	0.067224	nan
SNP_A-1884606	NC	1	1495898	0.570829	0.570829	nan
SNP_A-2235839	NC	1	1711339	0.160063	0.115901	nan
SNP_A-2218153	NC	1	1743546	0.215938	0.115901	nan
SNP_A-1919019	NC	1	1748886	0.001567	0.115901	nan
SNP_A-1815933	NC	1	1748914	0.115901	0.115901	nan
SNP_A-2115098	NC	1	1813782	-0.009372	0.115901	nan
SNP_A-2264565	NC	1	2094841	0.124251	0.115901	nan
SNP_A-1788728	NC	1	2095738	0.075393	0.115901	nan
SNP_A-4218776	NC	1	2145729	-0.511249	-0.511249	nan
SNP_A-2082194	NC	1	2273173	0.111055	0.060414	nan
SNP_A-2135694	NC	1	2292771	0.009773	0.060414	nan
SNP_A-4220764	NC	1	2296012	-0.109277	0.060414	nan
SNP_A-1796345	NC	1	2310562	0.377145	0.060414	nan
SNP_A-1789472	NC	1	2442429	-0.483380	-0.349335	nan
SNP_A-1934233	NC	1	2495573	0.131973	-0.349335	nan
SNP_A-4207031	NC	1	2536089	-0.479085	-0.349335	nan
!sample_table_end
