^SAMPLE = GSM1897962
!Sample_title = MedB_1
!Sample_geo_accession = GSM1897962
!Sample_status = Public on Oct 12 2015
!Sample_submission_date = Sep 29 2015
!Sample_last_update_date = Oct 12 2015
!Sample_type = genomic
!Sample_channel_count = 1
!Sample_source_name_ch1 = Primary mediastinal B cell lymphoma cell line
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell line: Med-B1
!Sample_treatment_protocol_ch1 = None
!Sample_growth_protocol_ch1 = Cell lines were grown according to standard conditions.
!Sample_molecule_ch1 = genomic DNA
!Sample_extract_protocol_ch1 = Genomic DNA was extracted from cultered cell lines using the Qiagen AllPrep Kit. DNA quality and quantity was assessed using a Nanodrop Spectrophotometer.
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = As per manufacturer (Affymetrix)
!Sample_hyb_protocol = As per manufacturer (Affymetrix)
!Sample_scan_protocol = As per manufacturer (Affymetrix)
!Sample_data_processing = SNP 6.0 microarrays were pre-processed using the PennCNV-affy protocol. OncoSNP (v1.3) was used to simultaneously segment and predict CN.
!Sample_data_processing = The raw logR and baf values are from the PennCVN-affy protocol. The logRShifted values are from OncoSNP once accounted for the logR shift.Â 
!Sample_platform_id = GPL6801
!Sample_contact_name = Christian,,Steidl
!Sample_contact_laboratory = Steidl lab
!Sample_contact_department = Lymphoid Cancer Research
!Sample_contact_institute = BC Cancer Agency
!Sample_contact_address = 675 W 10th Avenue
!Sample_contact_city = Vancouver
!Sample_contact_state = BC
!Sample_contact_zip/postal_code = V5Z 1L3
!Sample_contact_country = Canada
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1897nnn/GSM1897962/suppl/GSM1897962_MedB-1_GenomeWideSNP_6.CEL.gz
!Sample_series_id = GSE73558
!Sample_data_row_count = 916285
#ID_REF = 
#VALUE = logR
#MedB_1_baf = 
#MedB_1_logRShifted = 
!sample_table_begin
ID_REF	VALUE	MedB_1_baf	MedB_1_logRShifted
AFFX-SNP_10000979	-0.037	0.4939	-0.0389
AFFX-SNP_10009702	-0.087	0	-0.0889
AFFX-SNP_10015773	0.1431	1	0.1412
AFFX-SNP_10021569	-0.0158	1	-0.0177
AFFX-SNP_10026879	-0.2519	0.4219	-0.2538
AFFX-SNP_10029725	0.2778	0.5268	0.2759
AFFX-SNP_10034687	-0.1805	1	-0.1824
AFFX-SNP_10036267	0.1055	0.4634	0.1036
AFFX-SNP_10037362	-0.2498	0.9125	-0.2517
AFFX-SNP_10037636	-0.2321	0.0811	-0.234
AFFX-SNP_10039349	0.0144	1	0.0125
AFFX-SNP_10039442	-0.0558	0	-0.0577
AFFX-SNP_10039933	-0.2532	0.539	-0.2551
AFFX-SNP_10046830	0.0305	0.997	0.0286
AFFX-SNP_10047363	0.2279	1	0.226
AFFX-SNP_10047841	0.0279	0.436	0.026
AFFX-SNP_10049334	-0.005	0	-0.0069
AFFX-SNP_10052664	0.108	0.2864	0.1061
AFFX-SNP_10057887	-0.2095	0.9775	-0.2114
AFFX-SNP_10064911	0.0239	1	0.022
!sample_table_end
