^SAMPLE = GSM1897963
!Sample_title = U-2940
!Sample_geo_accession = GSM1897963
!Sample_status = Public on Oct 12 2015
!Sample_submission_date = Sep 29 2015
!Sample_last_update_date = Oct 12 2015
!Sample_type = genomic
!Sample_channel_count = 1
!Sample_source_name_ch1 = Primary mediastinal B cell lymphoma cell line
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell line: U2940
!Sample_treatment_protocol_ch1 = None
!Sample_growth_protocol_ch1 = Cell lines were grown according to standard conditions.
!Sample_molecule_ch1 = genomic DNA
!Sample_extract_protocol_ch1 = Genomic DNA was extracted from cultered cell lines using the Qiagen AllPrep Kit. DNA quality and quantity was assessed using a Nanodrop Spectrophotometer.
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = As per manufacturer (Affymetrix)
!Sample_hyb_protocol = As per manufacturer (Affymetrix)
!Sample_scan_protocol = As per manufacturer (Affymetrix)
!Sample_data_processing = SNP 6.0 microarrays were pre-processed using the PennCNV-affy protocol. OncoSNP (v1.3) was used to simultaneously segment and predict CN.
!Sample_data_processing = The raw logR and baf values are from the PennCVN-affy protocol. The logRShifted values are from OncoSNP once accounted for the logR shift.Â 
!Sample_platform_id = GPL6801
!Sample_contact_name = Christian,,Steidl
!Sample_contact_laboratory = Steidl lab
!Sample_contact_department = Lymphoid Cancer Research
!Sample_contact_institute = BC Cancer Agency
!Sample_contact_address = 675 W 10th Avenue
!Sample_contact_city = Vancouver
!Sample_contact_state = BC
!Sample_contact_zip/postal_code = V5Z 1L3
!Sample_contact_country = Canada
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1897nnn/GSM1897963/suppl/GSM1897963_U-2940_GenomeWideSNP_6.CEL.gz
!Sample_series_id = GSE73558
!Sample_data_row_count = 916285
#ID_REF = 
#VALUE = logR
#U-2940_baf = 
#U-2940_logRShifted = 
!sample_table_begin
ID_REF	VALUE	U-2940_baf	U-2940_logRShifted
AFFX-SNP_10000979	0.1174	0.002	0.1628
AFFX-SNP_10009702	-0.3242	0.0314	-0.2788
AFFX-SNP_10015773	-0.3676	0.2643	-0.3222
AFFX-SNP_10021569	0.154	0	0.1994
AFFX-SNP_10026879	-0.1655	1	-0.1201
AFFX-SNP_10029725	0.3371	0.0734	0.3825
AFFX-SNP_10034687	-0.0218	1	0.0236
AFFX-SNP_10036267	0.2682	0.3499	0.3136
AFFX-SNP_10037362	-0.2229	0.9312	-0.1775
AFFX-SNP_10037636	-0.2933	0.8575	-0.2479
AFFX-SNP_10039349	0.0879	0.0399	0.1333
AFFX-SNP_10039442	-0.0323	0.0139	0.0131
AFFX-SNP_10039933	-0.5642	0.5385	-0.5188
AFFX-SNP_10046830	-0.038	0.9909	0.0074
AFFX-SNP_10047363	0.4167	0	0.4621
AFFX-SNP_10047841	0.0285	0.8576	0.0739
AFFX-SNP_10049334	-0.2952	0	-0.2498
AFFX-SNP_10052664	0.0915	0.0128	0.1369
AFFX-SNP_10057887	0.1854	0.3547	0.2308
AFFX-SNP_10064911	0.1731	0	0.2185
!sample_table_end
