^SAMPLE = GSM51624
!Sample_title = 12
!Sample_geo_accession = GSM51624
!Sample_status = Public on May 18 2006
!Sample_submission_date = May 17 2005
!Sample_last_update_date = May 29 2005
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = 12 LCM captured tumour DNA
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_molecule_ch1 = genomic DNA
!Sample_source_name_ch2 = 12 LCM captured adjacent normal DNA
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_molecule_ch2 = genomic DNA
!Sample_description = For sample information see "High-Density, Genome-Wide Linkage and Gene Copy Number Analyses of a Six-Generation Prostate Cancer Family." by Fitzgerald et al, Cancer Research.
!Sample_platform_id = GPL2030
!Sample_contact_name = Gareth,,Price
!Sample_contact_email = nscalehome@gmail.com
!Sample_contact_phone = 61413289611
!Sample_contact_institute = Queensland Facility for Advanced Bioinformatics
!Sample_contact_address = Carmody Road
!Sample_contact_city = Brisbane
!Sample_contact_state = Queensland
!Sample_contact_zip/postal_code = 4072
!Sample_contact_country = Australia
!Sample_supplementary_file = NONE
!Sample_series_id = GSE2681
!Sample_data_row_count = 5760
#ID_REF =  
#VALUE = Average of log2 ratios for Ch1 (Sig-Bkd) v Ch2 (Sig-Bkd) with dye swap
#CH1_SIG_MEDIAN = Tumour DNA labelled with Cy5
#CH1_BKD_MEDIAN = Tumour DNA labelled with Cy5 background signal, as calculated by Genepix 3
#CH2_SIG_MEDIAN = Matched patient normal DNA labelled with Cy3 feature signal
#CH2_BKD_MEDIAN = Matched patient normal DNA labelled with Cy3, background signal, as calculated by Genepix 3
#FLAG = Pass/fail status as determined by Genepix
#CH1_SIG_MEDIAN_DS = Matched patient normal DNA labelled with Cy5 feature signal (Dye Swap)
#CH1_BKD_MEDIAN_DS = Matched patient normal DNA labelled with Cy5, background signal, as calculated by Genepix 3 (Dye Swap)
#CH2_SIG_MEDIAN_DS = Tumour DNA labelled with Cy3 (Dye Swap)
#CH2_BKD_MEDIAN_DS = Tumour DNA labelled with Cy3 background signal, as calculated by Genepix 3 (Dye Swap)
#FLAG_DS = Pass/fail status as determined by Genepix (Dye Swap)
!sample_table_begin
ID_REF	VALUE	CH1_SIG_MEDIAN	CH1_BKD_MEDIAN	CH2_SIG_MEDIAN	CH2_BKD_MEDIAN	FLAG	CH1_SIG_MEDIAN_DS	CH1_BKD_MEDIAN_DS	CH2_SIG_MEDIAN_DS	CH2_BKD_MEDIAN_DS	FLAG_DS
1	1.201900395	4740	1538	1272	187	-50	746	298	530	56	0
2	1.675621114	7308	1973	2610	239	-50	1585	295	1035	56	0
3	1.596180939	5883	2129	1916	254	-50	1210	305	777	56	0
4	1.432641042	5989	2071	2143	253	-50	1276	306	919	58	0
5	1.223381997	6594	2079	2154	266	-50	1116	305	901	58	0
6	1.800866937	6013	2161	2045	304	-50	1706	304	1048	58	0
7	1.377740996	6737	2083	2416	284	-50	1288	301	969	58	0
8	1.369473047	6222	1889	2104	261	-50	1220	310	903	58	0
9	1.420402008	5790	1729	2273	270	-50	1282	308	930	58	0
10	1.55959624	6092	2005	2678	304	-50	1705	313	1194	59	0
11	1.473287325	7440	2769	2573	342	-50	1500	309	1088	60	0
12	1.410951281	7997	5293	1939	1212	-50	1260	318	910	61	0
13	0.313511506	6225	1807	2879	300	0	1224	311	1044	60	0
14	-0.064431049	5234	936	2554	204	0	2231	310	1248	61	0
15	0.121826701	4618	890	2192	197	0	1803	321	1152	61	0
16	0.519085837	5131	876	2296	180	0	1341	320	1259	60	0
17	0.139857258	4259	815	2286	179	0	1577	306	1179	60	0
18	0.143615891	4181	578	2505	143	0	1600	307	1305	61	0
19	0.203570144	3588	444	1965	116	0	1633	316	1269	61	0
20	0.288546059	4559	450	2687	117	0	1434	320	1341	64	0
!sample_table_end
