^SAMPLE = GSM51620
!Sample_title = 2
!Sample_geo_accession = GSM51620
!Sample_status = Public on May 18 2006
!Sample_submission_date = May 17 2005
!Sample_last_update_date = May 29 2005
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = 2 LCM captured tumour DNA
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_molecule_ch1 = genomic DNA
!Sample_source_name_ch2 = 2 LCM captured adjacent normal DNA
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_molecule_ch2 = genomic DNA
!Sample_description = For sample information see "High-Density, Genome-Wide Linkage and Gene Copy Number Analyses of a Six-Generation Prostate Cancer Family." by Fitzgerald et al, Cancer Research.
!Sample_platform_id = GPL2030
!Sample_contact_name = Gareth,,Price
!Sample_contact_email = nscalehome@gmail.com
!Sample_contact_phone = 61413289611
!Sample_contact_institute = Queensland Facility for Advanced Bioinformatics
!Sample_contact_address = Carmody Road
!Sample_contact_city = Brisbane
!Sample_contact_state = Queensland
!Sample_contact_zip/postal_code = 4072
!Sample_contact_country = Australia
!Sample_supplementary_file = NONE
!Sample_series_id = GSE2681
!Sample_data_row_count = 5760
#ID_REF =  
#VALUE = Average of log2 ratios for Ch1 (Sig-Bkd) v Ch2 (Sig-Bkd) with dye swap
#CH1_SIG_MEDIAN = Tumour DNA labelled with Cy5
#CH1_BKD_MEDIAN = Tumour DNA labelled with Cy5 background signal, as calculated by Genepix 3
#CH2_SIG_MEDIAN = Matched patient normal DNA labelled with Cy3 feature signal
#CH2_BKD_MEDIAN = Matched patient normal DNA labelled with Cy3, background signal, as calculated by Genepix 3
#FLAG = Pass/fail status as determined by Genepix
#CH1_SIG_MEDIAN_DS = Matched patient normal DNA labelled with Cy5 feature signal (Dye Swap)
#CH1_BKD_MEDIAN_DS = Matched patient normal DNA labelled with Cy5, background signal, as calculated by Genepix 3 (Dye Swap)
#CH2_SIG_MEDIAN_DS = Tumour DNA labelled with Cy3 (Dye Swap)
#CH2_BKD_MEDIAN_DS = Tumour DNA labelled with Cy3 background signal, as calculated by Genepix 3 (Dye Swap)
#FLAG_DS = Pass/fail status as determined by Genepix (Dye Swap)
!sample_table_begin
ID_REF	VALUE	CH1_SIG_MEDIAN	CH1_BKD_MEDIAN	CH2_SIG_MEDIAN	CH2_BKD_MEDIAN	FLAG	CH1_SIG_MEDIAN_DS	CH1_BKD_MEDIAN_DS	CH2_SIG_MEDIAN_DS	CH2_BKD_MEDIAN_DS	FLAG_DS
1	-0.079661561	363	277	201	77	0	907	318	766	117	0
2	0.186472556	691	281	433	76	0	1111	316	989	116	0
3	-0.153134205	431	281	286	77	0	901	310	667	115	0
4	-0.005387934	533	273	379	75	0	1086	308	935	113	0
5	-0.077352801	538	275	420	76	0	1284	304	1113	114	0
6	0.022320526	724	282	497	79	0	1074	306	804	116	0
7	0.06815304	659	277	489	81	0	1718	321	1674	119	0
8	-0.06155727	508	280	367	84	0	1498	317	1304	119	0
9	-0.132948117	475	283	335	82	0	1538	311	1255	117	0
10	-0.02277223	668	280	484	82	0	1858	306	1531	119	0
11	-0.149824968	619	280	473	82	0	1664	312	1231	130	0
12	-0.039936323	663	279	476	80	0	1695	317	1342	129	0
13	0.023954348	931	276	821	80	0	1920	307	1864	117	0
14	-0.039836638	951	284	703	83	0	2473	307	1849	119	0
15	-0.170702892	797	294	711	81	0	2733	321	2159	135	0
16	-0.074611303	733	286	638	78	0	2633	331	2405	132	0
17	-0.029217908	584	279	447	77	0	2204	316	2093	120	0
18	0.008435647	634	281	488	75	0	2058	306	2018	114	0
19	0.100093038	715	288	492	75	0	1346	310	1224	116	0
20	-0.086996946	646	290	532	78	0	2164	312	1936	121	0
!sample_table_end
