^SAMPLE = GSM51618
!Sample_title = 15
!Sample_geo_accession = GSM51618
!Sample_status = Public on May 18 2006
!Sample_submission_date = May 17 2005
!Sample_last_update_date = May 29 2005
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = 15 LCM captured tumour DNA
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_molecule_ch1 = genomic DNA
!Sample_source_name_ch2 = 15 LCM captured adjacent normal DNA
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_molecule_ch2 = genomic DNA
!Sample_description = For sample information see "High-Density, Genome-Wide Linkage and Gene Copy Number Analyses of a Six-Generation Prostate Cancer Family." by Fitzgerald et al, Cancer Research.
!Sample_description = 
!Sample_platform_id = GPL2030
!Sample_contact_name = Gareth,,Price
!Sample_contact_email = nscalehome@gmail.com
!Sample_contact_phone = 61413289611
!Sample_contact_institute = Queensland Facility for Advanced Bioinformatics
!Sample_contact_address = Carmody Road
!Sample_contact_city = Brisbane
!Sample_contact_state = Queensland
!Sample_contact_zip/postal_code = 4072
!Sample_contact_country = Australia
!Sample_supplementary_file = NONE
!Sample_series_id = GSE2681
!Sample_data_row_count = 5760
#ID_REF =  
#VALUE = Average of log2 ratios for Ch1 (Sig-Bkd) v Ch2 (Sig-Bkd) with dye swap
#CH1_SIG_MEDIAN = Tumour DNA labelled with Cy5
#CH1_BKD_MEDIAN = Tumour DNA labelled with Cy5 background signal, as calculated by Genepix 3
#CH2_SIG_MEDIAN = Matched patient normal DNA labelled with Cy3 feature signal
#CH2_BKD_MEDIAN = Matched patient normal DNA labelled with Cy3, background signal, as calculated by Genepix 3
#FLAG = Pass/fail status as determined by Genepix
#CH1_SIG_MEDIAN_DS = Matched patient normal DNA labelled with Cy5 feature signal (Dye Swap)
#CH1_BKD_MEDIAN_DS = Matched patient normal DNA labelled with Cy5, background signal, as calculated by Genepix 3 (Dye Swap)
#CH2_SIG_MEDIAN_DS = Tumour DNA labelled with Cy3 (Dye Swap)
#CH2_BKD_MEDIAN_DS = Tumour DNA labelled with Cy3 background signal, as calculated by Genepix 3 (Dye Swap)
#FLAG_DS = Pass/fail status as determined by Genepix (Dye Swap)
!sample_table_begin
ID_REF	VALUE	CH1_SIG_MEDIAN	CH1_BKD_MEDIAN	CH2_SIG_MEDIAN	CH2_BKD_MEDIAN	FLAG	CH1_SIG_MEDIAN_DS	CH1_BKD_MEDIAN_DS	CH2_SIG_MEDIAN_DS	CH2_BKD_MEDIAN_DS	FLAG_DS
1	0.17190897	806	211	585	69	0	463	174	367	80	0
2	0.160984744	1147	196	919	65	0	798	174	705	71	0
3	0.104884148	989	190	849	65	0	560	173	455	68	0
4	0.137801362	1053	189	925	65	0	695	169	647	66	0
5	0.075626919	1155	190	1089	64	0	608	167	519	66	0
6	0.110130837	1224	190	1107	64	0	998	172	934	68	0
7	0.039705031	1475	189	1397	66	0	790	170	638	68	0
8	0.034303914	1242	189	1133	65	0	734	174	571	73	0
9	0.019873505	1458	187	1377	65	0	781	176	600	68	0
10	0.018358751	1612	190	1584	65	0	1019	179	831	68	0
11	0.069843243	1523	187	1398	65	0	957	178	802	68	0
12	-0.010850961	1566	193	1473	66	0	989	178	735	69	0
13	-0.068045488	1001	196	1060	65	0	1133	177	902	69	0
14	0.070563298	1953	196	1685	66	0	1578	172	1280	69	0
15	-0.003899404	1605	197	1544	65	0	1176	176	921	68	0
16	-0.100813702	1666	195	1848	65	0	1278	176	955	69	0
17	-0.013702592	1338	197	1308	65	0	1068	182	838	70	0
18	-0.045497012	1352	194	1428	64	0	943	187	734	73	0
19	-0.113133355	1089	190	1139	64	0	1038	189	731	71	0
20	-0.054092357	1576	192	1637	63	0	1023	186	768	71	0
!sample_table_end
