^SAMPLE = GSM51430
!Sample_title = 3
!Sample_geo_accession = GSM51430
!Sample_status = Public on May 18 2006
!Sample_submission_date = May 16 2005
!Sample_last_update_date = May 29 2005
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = 3 LCM captured tumour DNA
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_molecule_ch1 = genomic DNA
!Sample_source_name_ch2 = 3 LCM captured adjacent normal DNA
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_molecule_ch2 = genomic DNA
!Sample_description = For sample information see "High-Density, Genome-Wide Linkage and Gene Copy Number Analyses of a Six-Generation Prostate Cancer Family." by Fitzgerald et al, Cancer Research.
!Sample_platform_id = GPL2030
!Sample_contact_name = Gareth,,Price
!Sample_contact_email = nscalehome@gmail.com
!Sample_contact_phone = 61413289611
!Sample_contact_institute = Queensland Facility for Advanced Bioinformatics
!Sample_contact_address = Carmody Road
!Sample_contact_city = Brisbane
!Sample_contact_state = Queensland
!Sample_contact_zip/postal_code = 4072
!Sample_contact_country = Australia
!Sample_supplementary_file = NONE
!Sample_series_id = GSE2681
!Sample_data_row_count = 5760
#ID_REF =  
#VALUE = Average of log2 ratios for Ch1 (Sig-Bkd) v Ch2 (Sig-Bkd) with dye swap
#CH1_SIG_MEDIAN = Tumour DNA labelled with Cy5
#CH1_BKD_MEDIAN = Tumour DNA labelled with Cy5 background signal, as calculated by Genepix 3
#CH2_SIG_MEDIAN = Matched patient normal DNA labelled with Cy3 feature signal
#CH2_BKD_MEDIAN = Matched patient normal DNA labelled with Cy3, background signal, as calculated by Genepix 3
#FLAG = Pass/fail status as determined by Genepix
#CH1_SIG_MEDIAN_DS = Matched patient normal DNA labelled with Cy5 feature signal (Dye Swap)
#CH1_BKD_MEDIAN_DS = Matched patient normal DNA labelled with Cy5, background signal, as calculated by Genepix 3 (Dye Swap)
#CH2_SIG_MEDIAN_DS = Tumour DNA labelled with Cy3 (Dye Swap)
#CH2_BKD_MEDIAN_DS = Tumour DNA labelled with Cy3 background signal, as calculated by Genepix 3 (Dye Swap)
#FLAG_DS = Pass/fail status as determined by Genepix (Dye Swap)
!sample_table_begin
ID_REF	VALUE	CH1_SIG_MEDIAN	CH1_BKD_MEDIAN	CH2_SIG_MEDIAN	CH2_BKD_MEDIAN	FLAG	CH1_SIG_MEDIAN_DS	CH1_BKD_MEDIAN_DS	CH2_SIG_MEDIAN_DS	CH2_BKD_MEDIAN_DS	FLAG_DS
1	-0.177278173	675	398	572	108	0	910	394	673	145	0
2	-0.079094819	1367	391	1336	109	0	2897	399	2619	148	0
3	-0.055665977	910	400	791	106	0	1372	406	1210	151	0
4	-0.094682542	955	386	892	107	0	2131	434	1917	155	0
5	-0.061470003	1093	388	994	108	0	1449	445	1190	164	0
6	-0.105166923	1151	388	1095	109	0	2725	438	2374	166	0
7	-0.110554977	1080	401	1050	110	0	1612	446	1339	161	0
8	-0.211509613	837	400	835	112	0	1333	452	994	154	0
9	-0.129029372	873	410	766	113	0	1625	468	1305	159	0
10	-0.115978625	1022	402	958	110	0	2381	452	2064	153	0
11	-0.10173603	1118	398	1034	110	0	2768	420	2418	150	0
12	-0.050347525	1318	396	1184	110	0	3166	418	2832	154	0
13	0.053022939	1761	405	1638	111	0	2626	462	2660	163	0
14	0.081888542	1674	400	1416	109	0	3302	451	3304	162	0
15	0.025390031	1309	404	1131	110	0	2288	443	2167	153	0
16	-0.030085883	1205	396	1061	110	0	1923	444	1660	151	0
17	0.060361589	1190	403	992	113	0	2052	454	2012	156	0
18	-0.00575772	1095	409	907	111	0	2242	469	2040	168	0
19	-0.03852564	1171	406	1005	112	0	2229	455	1931	161	0
20	-0.079312375	1117	413	924	111	0	2008	449	1585	152	0
!sample_table_end
