^SAMPLE = GSM51615
!Sample_title = 7
!Sample_geo_accession = GSM51615
!Sample_status = Public on May 18 2006
!Sample_submission_date = May 17 2005
!Sample_last_update_date = May 29 2005
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = 7 LCM captured tumour DNA
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_molecule_ch1 = genomic DNA
!Sample_source_name_ch2 = 7 LCM captured adjacent normal DNA
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_molecule_ch2 = genomic DNA
!Sample_description = For sample information see "High-Density, Genome-Wide Linkage and Gene Copy Number Analyses of a Six-Generation Prostate Cancer Family." by Fitzgerald et al, Cancer Research.
!Sample_platform_id = GPL2030
!Sample_contact_name = Gareth,,Price
!Sample_contact_email = nscalehome@gmail.com
!Sample_contact_phone = 61413289611
!Sample_contact_institute = Queensland Facility for Advanced Bioinformatics
!Sample_contact_address = Carmody Road
!Sample_contact_city = Brisbane
!Sample_contact_state = Queensland
!Sample_contact_zip/postal_code = 4072
!Sample_contact_country = Australia
!Sample_supplementary_file = NONE
!Sample_series_id = GSE2681
!Sample_data_row_count = 5760
#ID_REF =  
#VALUE = Average of log2 ratios for Ch1 (Sig-Bkd) v Ch2 (Sig-Bkd) with dye swap
#CH1_SIG_MEDIAN = Tumour DNA labelled with Cy5
#CH1_BKD_MEDIAN = Tumour DNA labelled with Cy5 background signal, as calculated by Genepix 3
#CH2_SIG_MEDIAN = Matched patient normal DNA labelled with Cy3 feature signal
#CH2_BKD_MEDIAN = Matched patient normal DNA labelled with Cy3, background signal, as calculated by Genepix 3
#FLAG = Pass/fail status as determined by Genepix
#CH1_SIG_MEDIAN_DS = Matched patient normal DNA labelled with Cy5 feature signal (Dye Swap)
#CH1_BKD_MEDIAN_DS = Matched patient normal DNA labelled with Cy5, background signal, as calculated by Genepix 3 (Dye Swap)
#CH2_SIG_MEDIAN_DS = Tumour DNA labelled with Cy3 (Dye Swap)
#CH2_BKD_MEDIAN_DS = Tumour DNA labelled with Cy3 background signal, as calculated by Genepix 3 (Dye Swap)
#FLAG_DS = Pass/fail status as determined by Genepix (Dye Swap)
!sample_table_begin
ID_REF	VALUE	CH1_SIG_MEDIAN	CH1_BKD_MEDIAN	CH2_SIG_MEDIAN	CH2_BKD_MEDIAN	FLAG	CH1_SIG_MEDIAN_DS	CH1_BKD_MEDIAN_DS	CH2_SIG_MEDIAN_DS	CH2_BKD_MEDIAN_DS	FLAG_DS
1	0.082371251	2261	294	1791	132	0	636	125	595	57	0
2	-0.005919696	2851	299	2395	134	0	1130	130	990	59	0
3	-0.025065191	2665	303	2329	140	0	1306	126	1166	59	0
4	0.054375969	4132	309	3367	144	0	1180	128	1105	60	0
5	-0.010282624	3606	309	3014	143	0	1835	130	1608	60	0
6	-0.0651569	2302	306	2029	141	0	2155	129	1861	62	0
7	0.079787716	4358	305	3498	140	0	1383	131	1346	62	0
8	-0.025548014	4397	314	3608	142	0	2217	137	1857	64	0
9	-0.082998177	4824	321	4230	146	0	1774	133	1425	63	0
10	0.029938517	4891	315	4189	141	0	1280	131	1206	61	0
11	-0.072031492	4070	309	3536	138	0	2553	138	2098	63	0
12	-0.074803616	3442	319	2937	142	0	2307	143	1866	66	0
13	0.067984427	2392	324	1708	143	0	2217	140	1941	64	0
14	-0.02540858	4485	311	3639	134	0	2270	136	1884	63	0
15	0.002877032	5881	312	4649	135	0	1560	131	1298	61	0
16	0.014690364	4995	307	3894	132	0	1438	136	1202	63	0
17	0.02614553	4063	302	3285	127	0	1553	141	1387	65	0
18	-0.000718942	4288	300	3424	127	0	2879	155	2469	79	0
19	0.063212018	2137	302	1743	121	0	1509	149	1528	77	0
20	0.027275893	4541	292	3750	115	0	2487	145	2311	70	0
!sample_table_end
