^SAMPLE = GSM1815838
!Sample_title = T063
!Sample_geo_accession = GSM1815838
!Sample_status = Public on Mar 03 2016
!Sample_submission_date = Jul 08 2015
!Sample_last_update_date = Mar 03 2016
!Sample_type = genomic
!Sample_channel_count = 1
!Sample_source_name_ch1 = Type II Enteropathy-associated T-cell lymphoma Sample T063
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = tissue type: Tumor tissue
!Sample_characteristics_ch1 = disease state: Type II Enteropathy-associated T-cell lymphoma
!Sample_treatment_protocol_ch1 = NA
!Sample_growth_protocol_ch1 = NA
!Sample_molecule_ch1 = genomic DNA
!Sample_extract_protocol_ch1 = Genomic DNA from snap frozen patient specimens and whole blood was extracted using Blood & Cell Culture DNA Kit (Qiagen)
!Sample_label_ch1 = Biotin
!Sample_label_protocol_ch1 = As per manufacturer (Affymetrix)
!Sample_hyb_protocol = DNA was restriction digested, PCR amplified, fragmented, labeled and hybridized to each array according to the manufacturer's instructions.
!Sample_scan_protocol = The Arrays were then washed using Affymetrix fluidics stations, and scanned using the Gene Chip Scanner 3000.
!Sample_description = Hybridized to SNP6 array
!Sample_description = raw B-allele frequency value; 'LRR' = normalized logR value; 'normalized_BAF' = normalized B-allele frequency (after TumorBoost); 'nA' = copy number of allele A; 'nB' = copy number of allele B (for the matche normal tissue only the raw BAF value is provided, as this is the only information necessary for processing the tumor using TumorBoost and ASCAT)
!Sample_data_processing = The data in each tumor raw CEL file was normalized using CRMA-v2 and TumorBoost, and then analyzed with version 2 of the ASCAT algorithm which simultaneously models the aberrant cell fraction, regions of copy number changes and allele counts. The matched normal CEL file is used as a reference in this processing. For each heterozygous position found in the normal tissue, the minor allele frequency (BAF) and the log of the ratio of the total signal intensity in the tumor and matched non-tumor sample (Log R) were calculated for the tumor tissue. ASCAT determined the aberrant cell fraction and mean genomic ploidy that best fits these points.
!Sample_platform_id = GPL6801
!Sample_contact_name = Sanjanaa,,Nagarajan
!Sample_contact_email = sanjanaa@duke-nus.edu.sg
!Sample_contact_laboratory = NCCS-VARI Translational Research Laboratory
!Sample_contact_department = Department of Medical Sciences
!Sample_contact_institute = National Cancer Centre Singapore
!Sample_contact_address = 11 Hospital Drive
!Sample_contact_city = Singapore
!Sample_contact_state = Singapore
!Sample_contact_zip/postal_code = 169610
!Sample_contact_country = Singapore
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1815nnn/GSM1815838/suppl/GSM1815838_T063.CEL.gz
!Sample_series_id = GSE70653
!Sample_series_id = GSE70654
!Sample_data_row_count = 931633
#ID_REF = 
#VALUE = LRR = normalized logR value
#normalized_BAF = 
#nA = 
#nB = 
!sample_table_begin
ID_REF	VALUE	normalized_BAF	nA	nB
SNP_A-8575125	0.15796384	-0.008786116	1	1
SNP_A-8575115	0.006875896	0.994123816	1	1
SNP_A-8575371	0.100921886	0.973622262	1	1
SNP_A-8709646	-0.345854424	0.016979143	1	1
SNP_A-8497791	-0.156939044	-0.001194879	1	1
SNP_A-1909444	-0.073352866	1.043333173	1	1
SNP_A-8358063	-0.25179935	0.561038196	1	1
SNP_A-8329892	-0.079433195	-0.005478717	1	1
SNP_A-8408912	-0.076033428	0.963454247	1	1
SNP_A-8294056	0.2002202	0.463153034	1	1
SNP_A-1886933	-0.453711436	1.038110971	1	1
SNP_A-2236359	-0.169660042	1.008382559	1	1
SNP_A-8515688	-0.067989565	0.475231856	1	1
SNP_A-2205441	0.072005445	0.003407478	1	1
SNP_A-8524447	-0.095658843	0.015222728	1	1
SNP_A-8573955	0.059905865	0.477228403	1	1
SNP_A-8530278	0.513790914	1.092217326	1	1
SNP_A-8573668	-0.209898189	0.51475966	1	1
SNP_A-8573414	0.250094057	0.468814582	1	1
SNP_A-8531044	0.183065625	1.024616003	1	1
!sample_table_end
