^SAMPLE = GSM1863053
!Sample_title = T066
!Sample_geo_accession = GSM1863053
!Sample_status = Public on Mar 03 2016
!Sample_submission_date = Aug 27 2015
!Sample_last_update_date = Mar 03 2016
!Sample_type = genomic
!Sample_channel_count = 1
!Sample_source_name_ch1 = Type II Enteropathy-associated T-cell lymphoma Sample T066
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = tissue type: Tumor tissue
!Sample_characteristics_ch1 = disease state: Type II Enteropathy-associated T-cell lymphoma
!Sample_treatment_protocol_ch1 = NA
!Sample_growth_protocol_ch1 = NA
!Sample_molecule_ch1 = genomic DNA
!Sample_extract_protocol_ch1 = Genomic DNA from snap frozen patient specimens and whole blood was extracted using Blood & Cell Culture DNA Kit (Qiagen)
!Sample_label_ch1 = Biotin
!Sample_label_protocol_ch1 = As per manufacturer (Affymetrix)
!Sample_hyb_protocol = DNA was restriction digested, PCR amplified, fragmented, labeled and hybridized to each array according to the manufacturer's instructions.
!Sample_scan_protocol = The Arrays were then washed using Affymetrix fluidics stations, and scanned using the Gene Chip Scanner 3000.
!Sample_description = Hybridized to SNP6 array
!Sample_description = raw B-allele frequency value; 'LRR' = normalized logR value; 'normalized_BAF' = normalized B-allele frequency (after TumorBoost); 'nA' = copy number of allele A; 'nB' = copy number of allele B (for the matche normal tissue only the raw BAF value is provided, as this is the only information necessary for processing the tumor using TumorBoost and ASCAT)
!Sample_data_processing = The data in each tumor raw CEL file was normalized using CRMA-v2 and TumorBoost, and then analyzed with version 2 of the ASCAT algorithm which simultaneously models the aberrant cell fraction, regions of copy number changes and allele counts. The matched normal CEL file is used as a reference in this processing. For each heterozygous position found in the normal tissue, the minor allele frequency (BAF) and the log of the ratio of the total signal intensity in the tumor and matched non-tumor sample (Log R) were calculated for the tumor tissue. ASCAT determined the aberrant cell fraction and mean genomic ploidy that best fits these points.
!Sample_platform_id = GPL6801
!Sample_contact_name = Sanjanaa,,Nagarajan
!Sample_contact_email = sanjanaa@duke-nus.edu.sg
!Sample_contact_laboratory = NCCS-VARI Translational Research Laboratory
!Sample_contact_department = Department of Medical Sciences
!Sample_contact_institute = National Cancer Centre Singapore
!Sample_contact_address = 11 Hospital Drive
!Sample_contact_city = Singapore
!Sample_contact_state = Singapore
!Sample_contact_zip/postal_code = 169610
!Sample_contact_country = Singapore
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1863nnn/GSM1863053/suppl/GSM1863053_T066.CEL.gz
!Sample_series_id = GSE70653
!Sample_series_id = GSE70654
!Sample_data_row_count = 931633
#ID_REF = 
#VALUE = LRR = normalized logR value
#normalized_BAF = 
#nA = 
#nB = 
!sample_table_begin
ID_REF	VALUE	normalized_BAF	nA	nB
SNP_A-8575125	0.933358907	0.004490592	2	1
SNP_A-8575115	0.694309365	0.961344898	2	1
SNP_A-8575371	-0.095072521	0.963177323	2	1
SNP_A-8709646	-0.11476422	0.052694812	2	1
SNP_A-8497791	-0.471108654	0.04367622	2	1
SNP_A-1909444	-0.705101525	0.978210092	2	1
SNP_A-8358063	-0.702599869	0.121866107	2	1
SNP_A-8329892	-0.918806928	0.006356962	2	1
SNP_A-8408912	-1.038873099	0.912164569	2	1
SNP_A-8294056	-0.402907938	0.533049285	2	1
SNP_A-1886933	-0.798454782	0.789304137	2	1
SNP_A-2236359	-0.629921236	1.017940044	2	1
SNP_A-8515688	-0.843114291	0.899658263	2	1
SNP_A-2205441	-0.447794768	0.013498679	2	1
SNP_A-8524447	-0.194051601	0.021051094	2	1
SNP_A-8573955	0.345150512	0.047704935	2	1
SNP_A-8530278	0.423700923	0.249875277	2	1
SNP_A-8573668	0.140406518	0.431073815	2	1
SNP_A-8573414	0.199042761	0.951588452	2	1
SNP_A-8531044	0.105720064	-0.03221193	2	1
!sample_table_end
