^SAMPLE = GSM197647
!Sample_title = Adenoma component of a progressed adenoma (P28A_s31_b21)
!Sample_geo_accession = GSM197647
!Sample_status = Public on Oct 15 2008
!Sample_submission_date = Jun 04 2007
!Sample_last_update_date = Oct 15 2008
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = colon
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = Adenoma component of a progressed adenoma
!Sample_molecule_ch1 = genomic DNA
!Sample_extract_protocol_ch1 = as described in Weiss et al, Mol Pathol. 1999 Oct;52(5):243-51.
!Sample_label_ch1 = Cy3
!Sample_label_protocol_ch1 = as described by Snijders et al, Nat Genetics, volume 29, p 263-4
!Sample_source_name_ch2 = female Reference DNA
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_characteristics_ch2 = A pool of ten normal individuals
!Sample_molecule_ch2 = genomic DNA
!Sample_extract_protocol_ch2 = DNAzol (Invitrogen) according to manufacturer's protocol
!Sample_label_ch2 = Cy5
!Sample_label_protocol_ch2 = as described by Snijders et al, Nat Genetics, volume 29, p 263-4
!Sample_hyb_protocol = as described by Carvalho et al, Cell Oncol. 2006;28(5-6):283-94.
!Sample_scan_protocol = Microarray Scanner G2505B (Agilent Technologies), default settings
!Sample_description = n/a
!Sample_data_processing = Spots were quantified in ImaGene 5.6.1 software using default settings. BAC clones were positioned along the genome according to the July 2003 freeze. After exclusion of flagged spots, the average of the triplicate spots was calculated for each BAC clone and 2log ratios (tumour/normal reference signal) were normalised by subtraction of the mode value of BAC clones on chromosome 1-22. BAC clones with flagged spots were excluded from analysis.
!Sample_platform_id = GPL3443
!Sample_contact_name = Daoud,,Sie
!Sample_contact_email = d.sie@vumc.nl
!Sample_contact_phone = +31 20 4442428
!Sample_contact_laboratory = Microarray Core Facility
!Sample_contact_department = Pathology
!Sample_contact_institute = Vrije Universiteit Medical Center
!Sample_contact_address = De Boelelaan 1117
!Sample_contact_city = Amsterdam
!Sample_contact_zip/postal_code = 1081 HV
!Sample_contact_country = Netherlands
!Sample_supplementary_file = NONE
!Sample_series_id = GSE8067
!Sample_data_row_count = 17328
#ID_REF = 
#Signal Median CH1 = spot signal channel 1 (Cy3)
#Background Median CH1 = background signal of channel 1 (Cy3)
#Signal Median CH2 = spot signal channel 2 (Cy5)
#Background Median CH2 = background signal of channel 1 (Cy5)
#Log2ratio = 
#Flag = A flag to highlight spots that suffer from poor printing and other experimental artefacts (0 acceptable; 1-4 not acceptable)
#VALUE = same as UNF_VALUE but with flagged values removed
#UNF_VALUE = Normalized value of the log2ratio. Flagged features are excluded. Values where also deleted if the each triplicate had a Standard Deviation higher than 0.2.
!sample_table_begin
ID_REF	Signal Median CH1	Background Median CH1	Signal Median CH2	Background Median CH2	Log2ratio	Flag	VALUE	UNF_VALUE
1	5691	163	6410	101	-0.19	0		
2	2520	107	6666	86.5	-1.45	0		
3	5829	113.5	7403	111	-0.35	0		
4	15832	171.5	15141	115.5	0.06	0	0.0977	0.0977
5	14469	171	14840	121	-0.04	0	0.0977	0.0977
6	16148	206	15953.5	115	0.01	0	0.0977	0.0977
7	4937.5	167.5	7918.5	126.5	-0.71	0		
8	3646.5	141	7007	130	-0.97	0		
9	6154.5	131.5	7396	75	-0.28	0		
10	5854	109	6808	81	-0.23	0	0.0855	0.0855
11	5682	125	6611.5	56	-0.24	0	0.0855	0.0855
12	5657	134	6778.5	61.5	-0.28	0	0.0855	0.0855
13	3673	105.5	4273	62	-0.24	1		
14	3571.5	143	4284.5	62	-0.3	1		
15	3941.5	123	4569	55	-0.24	1		
16	8105	132	8152	58	-0.02	0	0.1174	0.1174
17	7331	119.5	7983	78	-0.13	0	0.1174	0.1174
18	8174	149.5	8644	91	-0.09	0	0.1174	0.1174
19	4857.5	158	7685	105.5	-0.69	0	-0.237	-0.237
20	5513	106	7359	94	-0.43	0	-0.237	-0.237
!sample_table_end
