^SAMPLE = GSM84250
!Sample_title = CGH_2005051115_T18_cell1
!Sample_geo_accession = GSM84250
!Sample_status = Public on Feb 01 2006
!Sample_submission_date = Nov 18 2005
!Sample_last_update_date = Nov 21 2005
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = Amplified single-cell (number 1) gDNA (47,XY,+18)
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = Single-cell gDNA following Phi29 whole genome amplification
!Sample_molecule_ch1 = genomic DNA
!Sample_label_ch1 = Cy5
!Sample_source_name_ch2 = Non-amplified reference gDNA (46,XX)
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_characteristics_ch2 = Reference genomic DNA
!Sample_molecule_ch2 = genomic DNA
!Sample_label_ch2 = Cy3
!Sample_description = Analysis Phi29 amplified single-cell gDNA versus non-amplified gDNA
!Sample_data_processing = Spot intensities were corrected for local background and only spots with signal intensities at least 1.2-fold above background were included in the analysis and log2 values were calculated. For each array, the normalised ratio was obtained by calculating the median of the log2 signal intensities over all the autosomal fragments with measurements from abnormal chromosomes masked out, and substracting this value from all the signal intensities of the spots on the array
!Sample_platform_id = GPL3091
!Sample_contact_name = Joris,R,Vermeesch
!Sample_contact_email = Joris.Vermeesch@uz.kuleuven.ac.be
!Sample_contact_department = Center for Human Genetics
!Sample_contact_institute = Katholic University Leuven
!Sample_contact_address = Herestraat, 49
!Sample_contact_city = Leuven
!Sample_contact_zip/postal_code = 3000
!Sample_contact_country = Belgium
!Sample_supplementary_file = NONE
!Sample_series_id = GSE3642
!Sample_data_row_count = 8228
#ID_REF = 
#Cy5_signal = Mean of Cy5 foreground intensity
#Cy5_bkg = Median of Cy5 background intensity
#Cy3_signal = Mean of Cy3 foreground intensity
#Cy3_bkg = Median of Cy3 background intensity
#Cy5 = Cy5 signal
#Cy3 = Cy3 signal
#VALUE = Normalised log2 ratio defined as Cy5/Cy3
!sample_table_begin
ID_REF	Cy5_signal	Cy5_bkg	Cy3_signal	Cy3_bkg	Cy5	Cy3	VALUE
1	534	456	382	295			
2	593	487	418	321			
3	779	584	1173	675	195	498	-1.332493736
4	852	614	1075	636	238	439	-0.863081484
5	609	514	1002	509		493	
6	638	536	921	539		382	
7	1817	536	981	564	1281	417	1.639329069
8	1676	544	908	589	1132	319	1.847423511
9	767	568	1486	422	199	1064	-2.398479933
10	831	605	1653	619	226	1034	-2.173663626
11	734	516	783	481	218	302	-0.450042533
12	2343	706	1634	738	1637	896	0.889661566
13	1125	615	1547	608	510	939	-0.860450029
14	1234	614	1582	563	620	1019	-0.696636049
15	879	585	1428	652	294	776	-1.380062615
16	894	594	1373	671	300	702	-1.206330648
17	1762	570	2101	653	1192	1448	-0.260499485
18	1598	587	1872	615	1011	1257	-0.294023771
19	1198	579	1916	597	619	1319	-1.071255368
20	1204	591	1862	661	613	1201	-0.95009929
!sample_table_end
