^SAMPLE = GSM84257
!Sample_title = CGH_2005051134_45,X_cell2
!Sample_geo_accession = GSM84257
!Sample_status = Public on Feb 01 2006
!Sample_submission_date = Nov 18 2005
!Sample_last_update_date = Nov 21 2005
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = Amplified single-cell (number 2) gDNA (45,X)
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = Single-cell gDNA following Phi29 whole genome amplification
!Sample_molecule_ch1 = genomic DNA
!Sample_label_ch1 = Cy5
!Sample_source_name_ch2 = Non-amplified reference gDNA (46,XX)
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_characteristics_ch2 = Reference genomic DNA
!Sample_molecule_ch2 = genomic DNA
!Sample_label_ch2 = Cy3
!Sample_description = Analysis Phi29 amplified single-cell gDNA versus non-amplified gDNA
!Sample_data_processing = Spot intensities were corrected for local background and only spots with signal intensities at least 1.2-fold above background were included in the analysis and log2 values were calculated. For each array, the normalised ratio was obtained by calculating the median of the log2 signal intensities over all the autosomal fragments with measurements from abnormal chromosomes masked out, and substracting this value from all the signal intensities of the spots on the array
!Sample_platform_id = GPL3091
!Sample_contact_name = Joris,R,Vermeesch
!Sample_contact_email = Joris.Vermeesch@uz.kuleuven.ac.be
!Sample_contact_department = Center for Human Genetics
!Sample_contact_institute = Katholic University Leuven
!Sample_contact_address = Herestraat, 49
!Sample_contact_city = Leuven
!Sample_contact_zip/postal_code = 3000
!Sample_contact_country = Belgium
!Sample_supplementary_file = NONE
!Sample_series_id = GSE3642
!Sample_data_row_count = 8228
#ID_REF = 
#Cy5_signal = Mean of Cy5 foreground intensity
#Cy5_bkg = Median of Cy5 background intensity
#Cy3_signal = Mean of Cy3 foreground intensity
#Cy3_bkg = Median of Cy3 background intensity
#Cy5 = Cy5 signal
#Cy3 = Cy3 signal
#VALUE = Normalised log2 ratio defined as Cy5/Cy3
!sample_table_begin
ID_REF	Cy5_signal	Cy5_bkg	Cy3_signal	Cy3_bkg	Cy5	Cy3	VALUE
1	729	648	573	465			
2	753	638	569	452	115		
3	1121	648	1261	549	473	712	-0.564465273
4	1139	635	1255	540	504	715	-0.478947724
5	896	631	1688	499	265	1189	-2.140112666
6	852	625	1467	459	227	1008	-2.125159652
7	939	606	1271	532	333	739	-1.124480403
8	1254	717	1542	661	537	881	-0.688648147
9	1018	604	1772	388	414	1384	-1.715569486
10	1094	577	1952	421	517	1531	-1.540666313
11	1007	602	1076	528	405	548	-0.410682201
12	1166	760	1371	743	406	628	-0.603713047
13	1937	653	1892	504	1284	1388	-0.086790581
14	1752	631	1931	524	1121	1407	-0.302264266
15	1231	606	1645	497	625	1148	-0.851622763
16	1292	602	1661	449	690	1212	-0.787149647
17	1925	604	3037	504	1321	2533	-0.913644826
18	1977	624	2836	479	1353	2357	-0.775218135
19	2251	612	2441	469	1639	1972	-0.241271913
20	2138	603	2325	517	1535	1808	-0.210584238
!sample_table_end
