^SAMPLE = GSM84231
!Sample_title = CGH_2005051140_T13_cell1
!Sample_geo_accession = GSM84231
!Sample_status = Public on Feb 01 2006
!Sample_submission_date = Nov 18 2005
!Sample_last_update_date = Nov 21 2005
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = Amplified single-cell (number 1) gDNA (47,XX,+13)
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = Single-cell gDNA following Phi29 whole genome amplification
!Sample_molecule_ch1 = genomic DNA
!Sample_label_ch1 = Cy5
!Sample_source_name_ch2 = Non-amplified reference gDNA (46,XY)
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_characteristics_ch2 = Reference genomic DNA
!Sample_molecule_ch2 = genomic DNA
!Sample_label_ch2 = Cy3
!Sample_description = Analysis Phi29 amplified single-cell gDNA versus non-amplified gDNA
!Sample_data_processing = Spot intensities were corrected for local background and only spots with signal intensities at least 1.2-fold above background were included in the analysis and log2 values were calculated. For each array, the normalised ratio was obtained by calculating the median of the log2 signal intensities over all the autosomal fragments with measurements from abnormal chromosomes masked out, and substracting this value from all the signal intensities of the spots on the array
!Sample_platform_id = GPL3091
!Sample_contact_name = Joris,R,Vermeesch
!Sample_contact_email = Joris.Vermeesch@uz.kuleuven.ac.be
!Sample_contact_department = Center for Human Genetics
!Sample_contact_institute = Katholic University Leuven
!Sample_contact_address = Herestraat, 49
!Sample_contact_city = Leuven
!Sample_contact_zip/postal_code = 3000
!Sample_contact_country = Belgium
!Sample_supplementary_file = NONE
!Sample_series_id = GSE3642
!Sample_data_row_count = 8228
#ID_REF = 
#Cy5_signal = Mean of Cy5 foreground intensity
#Cy5_bkg = Median of Cy5 background intensity
#Cy3_signal = Mean of Cy3 foreground intensity
#Cy3_bkg = Median of Cy3 background intensity
#Cy5 = Cy5 signal
#Cy3 = Cy3 signal
#VALUE = Normalised log2 ratio defined as Cy5/Cy3
!sample_table_begin
ID_REF	Cy5_signal	Cy5_bkg	Cy3_signal	Cy3_bkg	Cy5	Cy3	VALUE
1	595	518	352	277		75	
2	689	577	345	259		86	
3	1096	606	799	279	490	520	-0.040174215
4	1267	644	832	314	623	518	0.311835724
5	704	541	870	283	163	587	-1.80293288
6	767	593	941	302	174	639	-1.831172966
7	806	535	635	261	271	374	-0.41918976
8	903	577	674	307	326	367	-0.12535244
9	1412	608	1316	309	804	1007	-0.279240618
10	1714	605	1243	285	1109	958	0.256717463
11	721	518	466	208	203	258	-0.300335679
12	835	629	594	349	206	245	-0.204581753
13	1239	581	1045	283	658	762	-0.166147755
14	1244	604	1032	264	640	768	-0.217478747
15	1470	564	1150	293	906	857	0.125771505
16	1797	641	1151	308	1156	843	0.501092521
17	1339	545	1728	274	794	1454	-0.827260698
18	1758	618	1946	319	1140	1627	-0.467624768
19	1939	583	2294	299	1356	1995	-0.511475909
20	1756	582	1859	288	1174	1571	-0.374695113
!sample_table_end
