^SAMPLE = GSM84266
!Sample_title = CGH_2005051149_Embryo3_cell1
!Sample_geo_accession = GSM84266
!Sample_status = Public on Feb 01 2006
!Sample_submission_date = Nov 18 2005
!Sample_last_update_date = Feb 20 2006
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = Amplified single-cell (blastomere number 1) gDNA (XX)
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = Single-cell gDNA following Phi29 whole genome amplification
!Sample_molecule_ch1 = genomic DNA
!Sample_label_ch1 = Cy5
!Sample_source_name_ch2 = Non-amplified reference gDNA (46,XY)
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_characteristics_ch2 = Reference genomic DNA
!Sample_molecule_ch2 = genomic DNA
!Sample_label_ch2 = Cy3
!Sample_description = Analysis Phi29 amplified single-cell gDNA versus non-amplified gDNA
!Sample_data_processing = Spot intensities were corrected for local background and only spots with signal intensities at least 1.2-fold above background were included in the analysis and log2 values were calculated. For each array, the normalised ratio was obtained by calculating the median of the log2 signal intensities over all the autosomal fragments with measurements from abnormal chromosomes masked out, and substracting this value from all the signal intensities of the spots on the array
!Sample_platform_id = GPL3091
!Sample_contact_name = Joris,R,Vermeesch
!Sample_contact_email = Joris.Vermeesch@uz.kuleuven.ac.be
!Sample_contact_department = Center for Human Genetics
!Sample_contact_institute = Katholic University Leuven
!Sample_contact_address = Herestraat, 49
!Sample_contact_city = Leuven
!Sample_contact_zip/postal_code = 3000
!Sample_contact_country = Belgium
!Sample_supplementary_file = NONE
!Sample_series_id = GSE3642
!Sample_data_row_count = 8228
#ID_REF = 
#Cy5_signal = Mean of Cy5 foreground intensity
#Cy5_bkg = Median of Cy5 background intensity
#Cy3_signal = Mean of Cy3 foreground intensity
#Cy3_bkg = Median of Cy3 background intensity
#Cy5 = Cy5 signal
#Cy3 = Cy3 signal
#VALUE = Normalised log2 ratio defined as Cy5/Cy3
!sample_table_begin
ID_REF	Cy5_signal	Cy5_bkg	Cy3_signal	Cy3_bkg	Cy5	Cy3	VALUE
1	704	563	291	209			
2	767	583	294	210	184		
3	832	593	606	225	239	381	-0.650466384
4	921	633	614	266	288	348	-0.250704499
5	806	622	971	287	184	684	-1.871976563
6	759	598	948	235	161	713	-2.124527392
7	1310	599	673	222	711	451	0.679036122
8	1195	593	602	227	602	375	0.705186887
9	963	634	1065	312	329	753	-1.172248285
10	923	574	1006	197	349	809	-1.19059867
11	788	590	528	215	198	313	-0.638348231
12	858	583	529	210	275	319	-0.191810809
13	1063	621	1087	300	442	787	-0.81000327
14	1190	602	1023	208	588	815	-0.448669908
15	920	642	1031	273	278	758	-1.42479897
16	963	598	965	203	365	762	-1.039580538
17	4272	607	1904	224	3665	1680	1.147665961
18	3763	642	1962	280	3121	1682	0.914144648
19	2630	631	2099	262	1999	1837	0.144240842
20	1961	625	1528	263	1336	1265	0.101096619
!sample_table_end
