^SAMPLE = GSM873051
!Sample_title = Bone marrow 35mac475
!Sample_geo_accession = GSM873051
!Sample_status = Public on Jul 01 2013
!Sample_submission_date = Feb 09 2012
!Sample_last_update_date = Jul 01 2013
!Sample_type = genomic
!Sample_channel_count = 1
!Sample_source_name_ch1 = Bone marrow
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell type: Bone marrow
!Sample_molecule_ch1 = genomic DNA
!Sample_extract_protocol_ch1 = Genomic DNA was extracted from whole bone marrow, whole peripheral blood or CD3 lymphocytes isolated from peripheral blood prior to treatment with lenalidomide, at the individual centers participating in the study. DNA quality and quantity was assessed using a Nanodrop Spectrophotometer and agarose gel electrophoresis.
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = DNA was restriction digested, PCR amplified, fragmented, labeled and hybridized to each array according to the manufacturer's instructions.
!Sample_hyb_protocol = The Arrays were then washed using Affymetrix fluidics stations, and scanned according to the manufacturer's instructions.
!Sample_scan_protocol = CEL files, generated by AGCC Viewer. CNCHP and LOHCHP, generated by Genotyping Console (all provided by Affymetrix)
!Sample_description = Hybridized to 250K_Nsp
!Sample_data_processing = CNCHP (from 6.0 arrays) provide data for copy number and LOH analysis. LOCHP provides data for LOH analysis in case of 250K_Nsp arrays.
!Sample_data_processing = Genotyping Console; algorithm-name = CN4
!Sample_platform_id = GPL3718
!Sample_contact_name = Mar,,Mallo
!Sample_contact_institute = Josep Carreras Leukaemia Research Institute
!Sample_contact_address = Ctra de Can Ruti, s/n, camÃ­ de les escoles. Edifici IMPPC
!Sample_contact_city = Badalona
!Sample_contact_zip/postal_code = 08916
!Sample_contact_country = Spain
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM873nnn/GSM873051/suppl/GSM873051_35mac475.CEL.gz
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM873nnn/GSM873051/suppl/GSM873051_35mac475.CN4.CNCHP.gz
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM873nnn/GSM873051/suppl/GSM873051_35mac475.CN4.lohchp.gz
!Sample_series_id = GSE35656
!Sample_data_row_count = 262217
#ID_REF = 
#VALUE = CN STATE
#CHROMOSOME = 
#POSITION = 
#LOG2 RATIO = 
#HMM MEDIAN LOG2 RATIO = 
#NEG LOG10 P-VALUE = 
#CHIP NUM = 
!sample_table_begin
ID_REF	VALUE	CHROMOSOME	POSITION	LOG2 RATIO	HMM MEDIAN LOG2 RATIO	NEG LOG10 P-VALUE	CHIP NUM
SNP_A-1886933	NC	1	775852	-0.524234	-0.524234	0.000000	
SNP_A-1902458	NC	1	1120590	-0.024743	-0.006018	0.033733	
SNP_A-2131660	NC	1	1145994	-0.022842	-0.006018	0.033733	
SNP_A-4221087	NC	1	1258710	-0.001349	-0.006018	0.033733	
SNP_A-1884606	NC	1	1495898	0.156761	-0.006018	0.000000	
SNP_A-2235839	NC	1	1711339	0.136409	-0.006018	0.310466	
SNP_A-2218153	NC	1	1743546	0.132291	-0.006018	0.310466	
SNP_A-1919019	NC	1	1748886	0.131341	-0.006018	0.310466	
SNP_A-1815933	NC	1	1748914	0.131336	-0.006018	0.310466	
SNP_A-2115098	NC	1	1813782	0.113549	-0.006018	0.310466	
SNP_A-2264565	NC	1	2094841	-0.029653	-0.006018	0.165127	
SNP_A-1788728	NC	1	2095738	-0.029063	-0.006018	0.165127	
SNP_A-4218776	NC	1	2145729	0.033656	-0.006018	0.532109	
SNP_A-2082194	NC	1	2273173	0.124252	-0.006018	0.358360	
SNP_A-2135694	NC	1	2292771	0.125843	-0.006018	0.358360	
SNP_A-4220764	NC	1	2296012	0.128337	-0.006018	0.329567	
SNP_A-1796345	NC	1	2310562	0.118400	-0.006018	0.329567	
SNP_A-1789472	NC	1	2442429	-0.073160	-0.006018	0.030522	
SNP_A-1934233	NC	1	2495573	-0.138517	-0.006018	0.152071	
SNP_A-4207031	NC	1	2536089	-0.149290	-0.006018	0.711566	
!sample_table_end
