^SAMPLE = GSM287989
!Sample_title = U2OS a-CGH replicate 1
!Sample_geo_accession = GSM287989
!Sample_status = Public on May 01 2009
!Sample_submission_date = May 10 2008
!Sample_last_update_date = May 12 2008
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = U2OS cells
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = U2OS osteosarcoma cancer cell line (ATCC # HTB-96) 
!Sample_molecule_ch1 = genomic DNA
!Sample_extract_protocol_ch1 = DNA was extracted after harvesting the cells by Trypsin (Invitrogen) followed by phenol-chloroform extraction and subsequent precipitation in 100% ethanol. DNA precipitate was washed with 70% ethanol then eluted in DNAse free water. 
!Sample_label_ch1 = Cy5
!Sample_label_protocol_ch1 = Labelling reactions were performed using the Agilent Genomic DNA Labeling Kit PLUS (Agilent Technologies, Inc., Palo Alto, USA) according to the manufacturerâs directions. Briefly, DNA was labelled with 1.5 - 3 mM Cy5-dUTP (Agilent Technologies, Inc., Palo Alto, USA), and purified using a Centricon YM-30 filter (Millipore, Billerica, USA).  
!Sample_source_name_ch2 = Normal Human Genomic DNA
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_characteristics_ch2 = Human Genomic DNA from multiple anonymous male donors (Promega Corporation, Madison, USA)
!Sample_molecule_ch2 = genomic DNA
!Sample_extract_protocol_ch2 = Comercial DNA extracted as per manifacturers instructions - Human Genomic DNA from multiple anonymous male donors (Promega Corporation, Madison, USA)
!Sample_label_ch2 = Cy3
!Sample_label_protocol_ch2 = Labelling reactions were performed using the Agilent Genomic DNA Labeling Kit PLUS (Agilent Technologies, Inc., Palo Alto, USA) according to the manufacturerâs directions. Briefly, DNA was labelled with 1.5 - 3 mM Cy3-dUTP (Agilent Technologies, Inc., Palo Alto, USA), and purified using a Centricon YM-30 filter (Millipore, Billerica, USA).  
!Sample_hyb_protocol = Probe mixture of Cy3-labelled sample DNA, Cy5-labelled reference DNA, 50 Î¼l of 1.0mg/ ml of human Cot-1 DNA (Invitrogen, USA), 52 Î¼l of Agilent 10X Blocking Agent and 260 Î¼l of Agilent 2X Hybridization Buffer (Agilent Technologies, Inc.) was denatured at 100C for 1 minute 30 seconds and incubated at 37C for 30 minutes.  The probe was applied to the array using an Agilent microarray hybridization chamber, and hybridized for 40 hours at 65C in a rotating oven (Robbins Scientific, Sunnyvale, USA) at 20 rpm. Arrays were washed according to the manufacturerâs recommendation and air dried.
!Sample_scan_protocol = Arrays were scanned using an Agilent 2565AA DNA microarray scanner (Agilent Technologies, Inc).
!Sample_description = The Agilent Human Genome CGH microarray 244A (Agilent Technologies, Inc., Palo Alto, USA) were used for the U2OS array-CGH experiments.  Three Î¼g of Human Genomic DNA from multiple anonymous male donors (Promega Corporation, Madison, USA) and 3 Î¼g of test genomic DNA sample were digested with AluI (5 units) and RsaI (5 units) (Promega) for a minimum of 2 hours at 37C.  Digestion quality was assessed by the DNA 1000 LabChip Kit (Agilent 2100 Bioanalyzer, Agilent Technologies).  Labelling reactions were performed using the Agilent Genomic DNA Labeling Kit PLUS (Agilent Technologies, Inc., Palo Alto, USA) according to the manufacturerâs directions. Briefly, the reference and sample DNA were labelled with 1.5 - 3 mM Cy3-dUTP or Cy5-dUTP (Agilent Technologies, Inc., Palo Alto, USA), and purified using a Centricon YM-30 filter (Millipore, Billerica, USA).  Probe mixture of Cy3-labelled sample DNA, Cy5-labelled reference DNA, 50 Î¼l of 1.0mg/ ml of human Cot-1 DNA (Invitrogen, USA), 52 Î¼l of Agilent 10X Blocking Agent and 260 Î¼l of Agilent 2X Hybridization Buffer (Agilent Technologies, Inc.) was denatured at 100C for 1 minute 30 seconds and incubated at 37C for 30 minutes.  The probe was applied to the array using an Agilent microarray hybridization chamber, and hybridized for 40 hours at 65C in a rotating oven (Robbins Scientific, Sunnyvale, USA) at 20 rpm. Arrays were washed according to the manufacturerâs recommendations; air dried, and scanned using an Agilent 2565AA DNA microarray scanner (Agilent Technologies, Inc), and processed using Agilentâs Feature Extraction software. Dye-swapped duplicate experiments were carried out.
!Sample_data_processing = Data were processed using Agilentâs Feature Extraction software protocol for array-CGH data 
!Sample_platform_id = GPL4091
!Sample_contact_name = Bekim,,Sadikovic
!Sample_contact_email = bsadikov@gmail.com
!Sample_contact_institute = The SickKids Hospital and Princess Margaret Hospital
!Sample_contact_address = 555 University Avenue
!Sample_contact_city = Toronto
!Sample_contact_state = Ontario
!Sample_contact_zip/postal_code = M5G 1X8
!Sample_contact_country = Canada
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM287nnn/GSM287989/suppl/GSM287989.txt.gz
!Sample_series_id = GSE11411
!Sample_series_id = GSE11416
!Sample_data_row_count = 243430
#ID_REF = 
#VALUE = log10 (rProcessedSignal/gProcessedSignal); log10 (cancer/normal)
#gProcessedSignal = g chanel value
#rProcessedSignal = r chanel value
!sample_table_begin
ID_REF	VALUE	gProcessedSignal	rProcessedSignal
1	-0.090	2876.943	2335.897
2	-0.548	84.403	23.920
3	-0.482	65.530	21.576
4	0.367	344.502	801.985
5	0.052	886.562	999.552
6	-0.350	1078.823	482.383
7	-0.043	815.759	739.604
8	-0.078	894.411	747.546
9	0.062	553.901	638.209
10	0.127	152.214	204.114
11	-0.025	839.474	792.556
12	0.129	825.995	1111.897
13	0.037	1269.664	1383.897
14	0.110	726.567	935.903
15	0.160	970.461	1403.325
16	-0.089	930.517	758.723
17	-0.068	901.695	770.679
18	-1.057	577.026	50.638
19	-0.082	622.698	515.620
20	0.264	574.126	1054.584
!sample_table_end
