^SAMPLE = GSM287990
!Sample_title = U2OS a-CGH replicate 2
!Sample_geo_accession = GSM287990
!Sample_status = Public on May 01 2009
!Sample_submission_date = May 10 2008
!Sample_last_update_date = May 12 2008
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = U2OS cells
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = U2OS osteosarcoma cancer cell line (ATCC # HTB-96) 
!Sample_molecule_ch1 = genomic DNA
!Sample_extract_protocol_ch1 = DNA was extracted after harvesting the cells by Trypsin (Invitrogen) followed by phenol-chloroform extraction and subsequent precipitation in 100% ethanol. DNA precipitate was washed with 70% ethanol then eluted in DNAse free water. 
!Sample_label_ch1 = Cy3
!Sample_label_protocol_ch1 = Labelling reactions were performed using the Agilent Genomic DNA Labeling Kit PLUS (Agilent Technologies, Inc., Palo Alto, USA) according to the manufacturerâs directions. Briefly, DNA was labelled with 1.5 - 3 mM Cy5-dUTP (Agilent Technologies, Inc., Palo Alto, USA), and purified using a Centricon YM-30 filter (Millipore, Billerica, USA).  
!Sample_source_name_ch2 = Normal Human Genomic DNA
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_characteristics_ch2 = Human Genomic DNA from multiple anonymous male donors (Promega Corporation, Madison, USA)
!Sample_molecule_ch2 = genomic DNA
!Sample_extract_protocol_ch2 = Comercial DNA extracted as per manifacturers instructions - Human Genomic DNA from multiple anonymous male donors (Promega Corporation, Madison, USA)
!Sample_label_ch2 = Cy5
!Sample_label_protocol_ch2 = Labelling reactions were performed using the Agilent Genomic DNA Labeling Kit PLUS (Agilent Technologies, Inc., Palo Alto, USA) according to the manufacturerâs directions. Briefly, DNA was labelled with 1.5 - 3 mM Cy3-dUTP (Agilent Technologies, Inc., Palo Alto, USA), and purified using a Centricon YM-30 filter (Millipore, Billerica, USA).  
!Sample_hyb_protocol = Probe mixture of Cy3-labelled sample DNA, Cy5-labelled reference DNA, 50 Î¼l of 1.0mg/ ml of human Cot-1 DNA (Invitrogen, USA), 52 Î¼l of Agilent 10X Blocking Agent and 260 Î¼l of Agilent 2X Hybridization Buffer (Agilent Technologies, Inc.) was denatured at 100C for 1 minute 30 seconds and incubated at 37C for 30 minutes.  The probe was applied to the array using an Agilent microarray hybridization chamber, and hybridized for 40 hours at 65C in a rotating oven (Robbins Scientific, Sunnyvale, USA) at 20 rpm. Arrays were washed according to the manufacturerâs recommendation and air dried.
!Sample_scan_protocol = Arrays were scanned using an Agilent 2565AA DNA microarray scanner (Agilent Technologies, Inc).
!Sample_description = The Agilent Human Genome CGH microarray 244A (Agilent Technologies, Inc., Palo Alto, USA) were used for the U2OS array-CGH experiments.  Three Î¼g of Human Genomic DNA from multiple anonymous male donors (Promega Corporation, Madison, USA) and 3 Î¼g of test genomic DNA sample were digested with AluI (5 units) and RsaI (5 units) (Promega) for a minimum of 2 hours at 37C.  Digestion quality was assessed by the DNA 1000 LabChip Kit (Agilent 2100 Bioanalyzer, Agilent Technologies).  Labelling reactions were performed using the Agilent Genomic DNA Labeling Kit PLUS (Agilent Technologies, Inc., Palo Alto, USA) according to the manufacturerâs directions. Briefly, the reference and sample DNA were labelled with 1.5 - 3 mM Cy3-dUTP or Cy5-dUTP (Agilent Technologies, Inc., Palo Alto, USA), and purified using a Centricon YM-30 filter (Millipore, Billerica, USA).  Probe mixture of Cy3-labelled sample DNA, Cy5-labelled reference DNA, 50 Î¼l of 1.0mg/ ml of human Cot-1 DNA (Invitrogen, USA), 52 Î¼l of Agilent 10X Blocking Agent and 260 Î¼l of Agilent 2X Hybridization Buffer (Agilent Technologies, Inc.) was denatured at 100C for 1 minute 30 seconds and incubated at 37C for 30 minutes.  The probe was applied to the array using an Agilent microarray hybridization chamber, and hybridized for 40 hours at 65C in a rotating oven (Robbins Scientific, Sunnyvale, USA) at 20 rpm. Arrays were washed according to the manufacturerâs recommendations; air dried, and scanned using an Agilent 2565AA DNA microarray scanner (Agilent Technologies, Inc), and processed using Agilentâs Feature Extraction software. Dye-swapped duplicate experiments were carried out.
!Sample_data_processing = Data were processed using Agilentâs Feature Extraction software protocol for array-CGH data 
!Sample_platform_id = GPL4091
!Sample_contact_name = Bekim,,Sadikovic
!Sample_contact_email = bsadikov@gmail.com
!Sample_contact_institute = The SickKids Hospital and Princess Margaret Hospital
!Sample_contact_address = 555 University Avenue
!Sample_contact_city = Toronto
!Sample_contact_state = Ontario
!Sample_contact_zip/postal_code = M5G 1X8
!Sample_contact_country = Canada
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM287nnn/GSM287990/suppl/GSM287990.txt.gz
!Sample_series_id = GSE11411
!Sample_series_id = GSE11416
!Sample_data_row_count = 243430
#ID_REF = 
#VALUE = log10 (cancer/normal)
#gProcessedSignal = g chanel value
#rProcessedSignal = r chanel value
#INV_VALUE = log10 (rProcessedSignal/gProcessedSignal)
!sample_table_begin
ID_REF	VALUE	gProcessedSignal	rProcessedSignal	INV_VALUE
1	0.033	6589.332	6103.932	-0.033
2	0.576	41.595	11.043	-0.576
3	0.699	54.789	10.952	-0.699
4	0.095	848.990	682.814	-0.095
5	0.176	1459.075	972.601	-0.176
6	-0.086	611.411	745.839	0.086
7	0.095	1011.645	812.051	-0.095
8	0.033	1042.476	966.411	-0.033
9	0.125	934.260	700.952	-0.125
10	0.375	372.152	156.918	-0.375
11	-0.1	954.840	1202.335	0.100
12	0.134	1507.595	1107.607	-0.134
13	0.083	1599.451	1321.644	-0.083
14	0.04	966.366	881.357	-0.040
15	0.104	1755.294	1381.701	-0.104
16	-0.045	819.336	908.089	0.045
17	-0.096	812.728	1014.609	0.096
18	-1.203	41.227	657.939	1.203
19	-0.04	624.443	683.957	0.040
20	0.234	1074.350	627.188	-0.234
!sample_table_end
