^SAMPLE = GSM259829
!Sample_title = MicMa 122
!Sample_geo_accession = GSM259829
!Sample_status = Public on Jul 01 2010
!Sample_submission_date = Jan 28 2008
!Sample_last_update_date = Jan 22 2010
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = primary breast carcinoma, MicMa 122
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = Tissue: breast carcinoma, part of a larger cohort of stage I and II primary tumors. 
!Sample_characteristics_ch1 = Gender: female
!Sample_molecule_ch1 = genomic DNA
!Sample_extract_protocol_ch1 = Tumor DNA was extracted at The Norwegian Radium Hospital using an ABI 341 Nucleic Acid Purification System (Applied Biosystems) according to manufacturerâs protocol. Fresh frozen tumor tissue were homogenized and digested before phenol chloroform extraction on the ABI 341 system. DNA was stored at 4ÂºC until use.
!Sample_label_ch1 = Cy5
!Sample_label_protocol_ch1 = 100 ng genomic DNA was amplified using phi29 DNA polymerase at 30ÂºC, 16 hours over night. Amplified DNA was digested using 50 units AluI and 50 units RsaI nucleases, 2 hours incubation at 37ÂºC. The amplified and digested DNA was purified using QIAprep Miniprep Kit (QIAGEN) according to manufacturer's protocol, and quantified using a NanoDrop ND-1000 UV-Vis Spectrophotometer (NanoDrop Technologies).  10 Î¼g amplified and digested DNA was labeled with Cy5-dUTP (PerkinElmer) using the BioPrime Labeling System (Invitrogen). Cy3 and Cy5 reactions were combined and purified using Microcon YM-30 Filters (Amicon).
!Sample_source_name_ch2 = Human Male Genomic DNA
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_characteristics_ch2 = Purified human genomic DNA from multiple anonymous donors. Promega Cat.# G1471
!Sample_biomaterial_provider_ch2 = Promega
!Sample_molecule_ch2 = genomic DNA
!Sample_extract_protocol_ch2 = Genomic DNA are purified (extraction method unknown), and greater than 90% of the DNA is longer than 50kb in size as measured by pulsed-field gel electrophoresis. The DNA is stored in 10mM Tris-HCl (pH 8.0), 1mM EDTA.
!Sample_label_ch2 = Cy3
!Sample_label_protocol_ch2 = 100 ng genomic DNA was amplified using phi29 DNA polymerase at 30ÂºC, 16 hours over night. Amplified DNA was digested using 50 units AluI and 50 units RsaI nucleases, 2 hours incubation at 37ÂºC. The amplified and digested DNA was purified using QIAprep Miniprep Kit (QIAGEN) according to manufacturer's protocol, and quantified using a NanoDrop ND-1000 UV-Vis Spectrophotometer (NanoDrop Technologies).  10 Î¼g amplified and digested DNA was labeled with Cy3-dUTP (PerkinElmer) using the BioPrime Labeling System (Invitrogen). Cy3 and Cy5 reactions were combined and purified using Microcon YM-30 Filters (Amicon).
!Sample_hyb_protocol = For each experiment, 10 Î¼g labeled tumor DNA, 10 Î¼g labeled reference DNA, Agilent blocking agent, Cot-1 DNA and Agilent hybridization buffer were loaded onto the arrays and assembled in hybridization chambers according to manufacturerâs protocol.Arrays were incubated at 65ÂºC for 40 hours in a Robbins Scientific oven with rotary motion (20 rpm).Hybridization chambers were taken out of the oven, arrays quickly disassembled in washing solution 1 (0.5 x SSPE, 0.005% N-lauroylsarcosine) and placed in slide-rack submerged in fresh washing solution 1.Arrays were manually washed in batches of four; five minutes in washing solution 1, one minute in washing solution 2 (0.1 x SSPE 0.005% N-lauroylsarcosine) at 37ÂºC, one minute in 100% acetonitrile (Merck) and 30 seconds in Stabilization & Drying solution (Agilent Technologies).Arrays were protected from light until scanning.
!Sample_scan_protocol = ScannerName: Agilent Technologies Scanner G2505B US22502513
!Sample_scan_protocol = NumChannels: 2
!Sample_scan_protocol = MicronsPerPixel: 10
!Sample_scan_protocol = FeatureExtractor_ScanFileGUID: e4fe23c9-8c99-4157-b681-88b0ff1d7e7a
!Sample_description = The arrays were scanned within 30 minutes after washing, using an Agilent Microarray Scanner. Data extraction, filtering and normalization were conducted using the Feature Extraction software version A.7.5.1 from Agilent Technologies
!Sample_data_processing = VALUE = LogRatio (base 10): (REDsignal/GREENsignal) per feature (processed signals used).
!Sample_data_processing = Processed signals: Raw intensities are background corrected using local background subtraction. A linear normalization is applied to correct for dye bias.
!Sample_platform_id = GPL2873
!Sample_contact_name = JÃ¸rgen,MÃ¸mb,AarÃ¸e
!Sample_contact_email = jorgen.aaroe@rr-research.no
!Sample_contact_phone = +4791774653
!Sample_contact_fax = +4722934440
!Sample_contact_laboratory = Genetics
!Sample_contact_department = Genetics
!Sample_contact_institute = The Norwegian Radium Hospital
!Sample_contact_address = Montebello
!Sample_contact_city = Oslo
!Sample_contact_zip/postal_code = N-0310
!Sample_contact_country = Norway
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM259nnn/GSM259829/suppl/GSM259829.txt.gz
!Sample_series_id = GSE10583
!Sample_data_row_count = 42633
#ID_REF = Agilent feature number
#VALUE = LogRatio (base 10): (REDsignal/GREENsignal) per feature (processed signals used)
#gProcessedSignal = green (Cy3) preprossed signal
#rProcessedSignal = red (Cy5) preprossed signal
#gMeanSignal = Raw mean signal of feature in green channel (inlier pixels)
#rMeanSignal = Raw mean signal of feature in red channel (inlier pixels)
#gBGSubSignal = green background-subtracted signal
#rBGSubSignal = red background-subtracted signal
!sample_table_begin
ID_REF	VALUE	gProcessedSignal	rProcessedSignal	gMeanSignal	rMeanSignal	gBGSubSignal	rBGSubSignal
1	-2.00E+00	2.33E+04	2.10E+02	4.23E+03	1.47E+02	4074.56	35.3586
2	1.19E+00	8.71E+00	1.35E+02	1.48E+02	1.35E+02	-9.56676	22.8494
3	4.91E-02	1.13E+03	1.26E+03	3.55E+02	3.25E+02	197.324	213.459
4	-7.04E-03	1.36E+03	1.33E+03	3.95E+02	3.37E+02	236.979	225.268
5	-7.16E-02	1.02E+03	8.65E+02	3.36E+02	2.58E+02	178.157	145.969
6	-1.64E-01	1.13E+03	7.77E+02	3.56E+02	2.43E+02	197.744	131.056
7	-2.00E+00	2.82E+04	1.91E+02	5.09E+03	1.44E+02	4930.57	32.1598
8	2.91E-02	6.64E+02	7.10E+02	2.74E+02	2.32E+02	115.932	119.77
9	1.40E-01	2.09E+02	2.88E+02	1.94E+02	1.60E+02	36.4266	48.5868
10	-1.15E-01	1.39E+03	1.06E+03	4.00E+02	2.91E+02	242.083	179.348
11	3.96E-03	1.02E+03	1.03E+03	3.37E+02	2.86E+02	178.935	174.459
12	5.40E-03	5.97E+02	6.05E+02	2.62E+02	2.14E+02	104.364	102.091
13	1.66E-01	2.04E+03	2.98E+03	5.14E+02	6.15E+02	355.924	503.492
14	-2.00E+00	3.01E+04	1.58E+02	5.42E+03	1.39E+02	5260.92	26.7253
15	2.85E-01	1.86E+02	3.60E+02	1.90E+02	1.73E+02	32.5712	60.7115
16	3.16E-02	1.82E+03	1.96E+03	4.76E+02	4.43E+02	318.364	330.815
17	6.07E-02	4.44E+02	5.11E+02	2.35E+02	1.98E+02	77.6217	86.2324
18	1.29E-01	4.42E+02	5.95E+02	2.35E+02	2.12E+02	77.2907	100.459
19	5.85E-02	1.17E+03	1.33E+03	3.61E+02	3.37E+02	203.505	224.951
20	1.08E-01	1.15E+03	1.48E+03	3.59E+02	3.61E+02	201.565	249.459
!sample_table_end
