^SAMPLE = GSM259839
!Sample_title = MicMa 132
!Sample_geo_accession = GSM259839
!Sample_status = Public on Jul 01 2010
!Sample_submission_date = Jan 28 2008
!Sample_last_update_date = Jan 22 2010
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = primary breast carcinoma, MicMa 132
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = Tissue: breast carcinoma, part of a larger cohort of stage I and II primary tumors. 
!Sample_characteristics_ch1 = Gender: female
!Sample_molecule_ch1 = genomic DNA
!Sample_extract_protocol_ch1 = Tumor DNA was extracted at The Norwegian Radium Hospital using an ABI 341 Nucleic Acid Purification System (Applied Biosystems) according to manufacturerâs protocol. Fresh frozen tumor tissue were homogenized and digested before phenol chloroform extraction on the ABI 341 system. DNA was stored at 4ÂºC until use.
!Sample_label_ch1 = Cy5
!Sample_label_protocol_ch1 = 100 ng genomic DNA was amplified using phi29 DNA polymerase at 30ÂºC, 16 hours over night. Amplified DNA was digested using 50 units AluI and 50 units RsaI nucleases, 2 hours incubation at 37ÂºC. The amplified and digested DNA was purified using QIAprep Miniprep Kit (QIAGEN) according to manufacturer's protocol, and quantified using a NanoDrop ND-1000 UV-Vis Spectrophotometer (NanoDrop Technologies).  10 Î¼g amplified and digested DNA was labeled with Cy5-dUTP (PerkinElmer) using the BioPrime Labeling System (Invitrogen). Cy3 and Cy5 reactions were combined and purified using Microcon YM-30 Filters (Amicon).
!Sample_source_name_ch2 = Human Male Genomic DNA
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_characteristics_ch2 = Purified human genomic DNA from multiple anonymous donors. Promega Cat.# G1471
!Sample_biomaterial_provider_ch2 = Promega
!Sample_molecule_ch2 = genomic DNA
!Sample_extract_protocol_ch2 = Genomic DNA are purified (extraction method unknown), and greater than 90% of the DNA is longer than 50kb in size as measured by pulsed-field gel electrophoresis. The DNA is stored in 10mM Tris-HCl (pH 8.0), 1mM EDTA.
!Sample_label_ch2 = Cy3
!Sample_label_protocol_ch2 = 100 ng genomic DNA was amplified using phi29 DNA polymerase at 30ÂºC, 16 hours over night. Amplified DNA was digested using 50 units AluI and 50 units RsaI nucleases, 2 hours incubation at 37ÂºC. The amplified and digested DNA was purified using QIAprep Miniprep Kit (QIAGEN) according to manufacturer's protocol, and quantified using a NanoDrop ND-1000 UV-Vis Spectrophotometer (NanoDrop Technologies).  10 Î¼g amplified and digested DNA was labeled with Cy3-dUTP (PerkinElmer) using the BioPrime Labeling System (Invitrogen). Cy3 and Cy5 reactions were combined and purified using Microcon YM-30 Filters (Amicon).
!Sample_hyb_protocol = For each experiment, 10 Î¼g labeled tumor DNA, 10 Î¼g labeled reference DNA, Agilent blocking agent, Cot-1 DNA and Agilent hybridization buffer were loaded onto the arrays and assembled in hybridization chambers according to manufacturerâs protocol.Arrays were incubated at 65ÂºC for 40 hours in a Robbins Scientific oven with rotary motion (20 rpm).Hybridization chambers were taken out of the oven, arrays quickly disassembled in washing solution 1 (0.5 x SSPE, 0.005% N-lauroylsarcosine) and placed in slide-rack submerged in fresh washing solution 1.Arrays were manually washed in batches of four; five minutes in washing solution 1, one minute in washing solution 2 (0.1 x SSPE 0.005% N-lauroylsarcosine) at 37ÂºC, one minute in 100% acetonitrile (Merck) and 30 seconds in Stabilization & Drying solution (Agilent Technologies).Arrays were protected from light until scanning.
!Sample_scan_protocol = ScannerName: Agilent Technologies Scanner G2505B US22502513
!Sample_scan_protocol = NumChannels: 2
!Sample_scan_protocol = MicronsPerPixel: 10
!Sample_scan_protocol = FeatureExtractor_ScanFileGUID: e4fe23c9-8c99-4157-b681-88b0ff1d7e7a
!Sample_description = The arrays were scanned within 30 minutes after washing, using an Agilent Microarray Scanner. Data extraction, filtering and normalization were conducted using the Feature Extraction software version A.7.5.1 from Agilent Technologies
!Sample_data_processing = VALUE = LogRatio (base 10): (REDsignal/GREENsignal) per feature (processed signals used).
!Sample_data_processing = Processed signals: Raw intensities are background corrected using local background subtraction. A linear normalization is applied to correct for dye bias.
!Sample_platform_id = GPL2873
!Sample_contact_name = JÃ¸rgen,MÃ¸mb,AarÃ¸e
!Sample_contact_email = jorgen.aaroe@rr-research.no
!Sample_contact_phone = +4791774653
!Sample_contact_fax = +4722934440
!Sample_contact_laboratory = Genetics
!Sample_contact_department = Genetics
!Sample_contact_institute = The Norwegian Radium Hospital
!Sample_contact_address = Montebello
!Sample_contact_city = Oslo
!Sample_contact_zip/postal_code = N-0310
!Sample_contact_country = Norway
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM259nnn/GSM259839/suppl/GSM259839.txt.gz
!Sample_series_id = GSE10583
!Sample_data_row_count = 42633
#ID_REF = Agilent feature number
#VALUE = LogRatio (base 10): (REDsignal/GREENsignal) per feature (processed signals used)
#gProcessedSignal = green (Cy3) preprossed signal
#rProcessedSignal = red (Cy5) preprossed signal
#gMeanSignal = Raw mean signal of feature in green channel (inlier pixels)
#rMeanSignal = Raw mean signal of feature in red channel (inlier pixels)
#gBGSubSignal = green background-subtracted signal
#rBGSubSignal = red background-subtracted signal
!sample_table_begin
ID_REF	VALUE	gProcessedSignal	rProcessedSignal	gMeanSignal	rMeanSignal	gBGSubSignal	rBGSubSignal
1	-2.00E+00	2.95E+04	1.61E+02	4.29E+03	8.75E+01	4212.64	23.4347
2	-2.01E-02	6.81E+01	6.50E+01	9.06E+01	7.35E+01	9.71035	9.43473
3	-9.53E-02	1.48E+03	1.19E+03	2.92E+02	2.37E+02	211.008	172.419
4	3.08E-02	1.49E+03	1.60E+03	2.93E+02	2.96E+02	211.983	231.589
5	1.19E-02	1.19E+03	1.23E+03	2.51E+02	2.42E+02	170.008	177.798
6	-1.22E-01	1.36E+03	1.02E+03	2.74E+02	2.13E+02	193.318	148.419
7	-2.00E+00	3.74E+04	1.42E+02	5.41E+03	8.47E+01	5333.87	20.6255
8	-9.46E-02	9.81E+02	7.89E+02	2.21E+02	1.79E+02	139.863	114.473
9	2.64E-02	4.96E+02	5.28E+02	1.52E+02	1.41E+02	70.8012	76.5566
10	-6.77E-02	1.82E+03	1.55E+03	3.40E+02	2.90E+02	259.142	225.643
11	-4.65E-02	9.82E+02	8.82E+02	2.21E+02	1.92E+02	139.977	127.968
12	2.04E-02	5.94E+02	6.23E+02	1.66E+02	1.54E+02	84.7544	90.3853
13	3.28E-02	2.74E+03	2.95E+03	4.71E+02	4.92E+02	390.21	428.268
14	-2.00E+00	3.57E+04	1.39E+02	5.18E+03	8.43E+01	5097	20.1977
15	9.50E-02	2.58E+02	3.21E+02	1.18E+02	1.11E+02	36.7322	46.5221
16	-4.85E-02	2.49E+03	2.23E+03	4.36E+02	3.87E+02	354.87	322.97
17	-8.04E-02	6.43E+02	5.34E+02	1.73E+02	1.42E+02	91.6287	77.4876
18	3.39E-02	6.62E+02	7.16E+02	1.75E+02	1.68E+02	94.3627	103.83
19	1.56E-01	1.53E+03	2.19E+03	2.99E+02	3.82E+02	217.633	317.42
20	-7.57E-05	1.67E+03	1.66E+03	3.18E+02	3.06E+02	237.456	241.591
!sample_table_end
