^SAMPLE = GSM803
!Sample_title = CGH_Albertson_GM04435-001218
!Sample_geo_accession = GSM803
!Sample_status = Public on Feb 12 2002
!Sample_submission_date = Jan 17 2002
!Sample_last_update_date = Nov 30 2005
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = Cell line GM04435
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = Coriell cell line repository identifier: GM04435
!Sample_characteristics_ch1 = http://locus.umdnj.edu/nigms/nigms_cgi/display.cgi?GM04435
!Sample_biomaterial_provider_ch1 = Coriell Cell Repositories
!Sample_biomaterial_provider_ch1 = Coriell
!Sample_molecule_ch1 = genomic DNA
!Sample_source_name_ch2 = normal male reference genomic DNA
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_biomaterial_provider_ch2 = Coriell
!Sample_molecule_ch2 = genomic DNA
!Sample_description = Coriell Cell Repositories cell line <a href="http://locus.umdnj.edu/nigms/nigms_cgi/display.cgi?GM04435">GM04435</a>.
!Sample_description = Fibroblast cell line derived from the amnion of a 19 gestational week male fetus.
!Sample_description = Trisomies 16 and 21 are present.
!Sample_description = Karyotype is 48,XY,+16,+21
!Sample_platform_id = GPL28
!Sample_contact_name = Donna,G,Albertson
!Sample_contact_email = albertson@cc.ucsf.edu
!Sample_contact_phone = 415 502-8463
!Sample_contact_department = Comprehensive Cancer Center
!Sample_contact_institute = University of California San Francisco
!Sample_contact_address =  
!Sample_contact_city = San Francisco
!Sample_contact_state = CA
!Sample_contact_zip/postal_code = 94143
!Sample_contact_country = USA
!Sample_supplementary_file = NONE
!Sample_series_id = GSE16
!Sample_data_row_count = 2463
#ID_REF = Unique row identifier, genome position order
#VALUE = aka LOG2RATIO, mean of log base 2 of LINEAR_RATIO
#LINEAR_RATIO = Mean of replicate Cy3/Cy5 ratios
#LOG2STDDEV = Standard deviation of VALUE
#NO_REPLICATES = Number of replicate spot measurements
!sample_table_begin
ID_REF	VALUE	LINEAR_RATIO	LOG2STDDEV	NO_REPLICATES
1	-0.08094	0.945441	0.00236	3
2				0
3	0.076643	1.054562	0.008784	3
4	0.058587	1.041445	0.008067	3
5	0.050933	1.035935	0.007249	3
6	0.008181	1.005686	0.002519	3
7	0.11868	1.085741	0.007152	3
8	0.05511	1.038938	0.003473	3
9	0.018911	1.013195	0.014094	3
10	-0.00212	0.998531	0.000896	2
11	-0.019931	0.98628	0.006894	3
12				0
13	0.062141	1.044014	0.000535	3
14	0.054858	1.038757	0.008552	3
15	0.097759	1.07011	0.001487	3
16	0.015196	1.010589	0.006581	3
17	0.134696	1.097862	0.036383	3
18	-0.03374	0.976885	0.007036	3
19	0.038223	1.026848	0.00575	3
20	0.019313	1.013477	0.01514	3
!sample_table_end
