^SAMPLE = GSM813
!Sample_title = CGH_Albertson_MDA-MB-453
!Sample_geo_accession = GSM813
!Sample_status = Public on Feb 12 2002
!Sample_submission_date = Jan 17 2002
!Sample_last_update_date = May 27 2005
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = Cell line MDA-MB-453
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_molecule_ch1 = genomic DNA
!Sample_source_name_ch2 = normal male reference genomic DNA
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_molecule_ch2 = genomic DNA
!Sample_description = ATCC cell line <a href="http://www.atcc.org/SearchCatalogs/longview.cfm?view=ce,5144832,HTB-131&text=HTB%2D131">HTB-131</a>.
!Sample_description = Breast adenocarcinoma derived from pleural effusion in a 48 year old female.
!Sample_description = DA-MB-453 was derived in 1976 by R. Cailleau  et al. from an effusion of a 48 year old female patient with metastatic carcinoma of the breast, involving the nodes, brain and both pleural and pericardial cavities.
!Sample_description = The cells overexpress FGF receptors.
!Sample_platform_id = GPL28
!Sample_contact_name = Donna,G,Albertson
!Sample_contact_email = albertson@cc.ucsf.edu
!Sample_contact_phone = 415 502-8463
!Sample_contact_department = Comprehensive Cancer Center
!Sample_contact_institute = University of California San Francisco
!Sample_contact_address =  
!Sample_contact_city = San Francisco
!Sample_contact_state = CA
!Sample_contact_zip/postal_code = 94143
!Sample_contact_country = USA
!Sample_supplementary_file = NONE
!Sample_series_id = GSE16
!Sample_data_row_count = 2463
#ID_REF = Unique row identifier, genome position order
#VALUE = aka LOG2RATIO, mean of log base 2 of LINEAR_RATIO
#LINEAR_RATIO = Mean of replicate Cy3/Cy5 ratios
#LOG2STDDEV = Standard deviation of VALUE
#NO_REPLICATES = Number of replicate spot measurements
!sample_table_begin
ID_REF	VALUE	LINEAR_RATIO	LOG2STDDEV	NO_REPLICATES
1	-0.758224	0.591224	0.178588	3
2				0
3	-0.002429	0.998318	0.012	3
4	-0.074741	0.949513	0.010665	3
5	-0.080859	0.945495	0.019081	3
6	0.027808	1.019462	0.018764	3
7	-0.065754	0.955446	0.009019	3
8	0.080929	1.057699	0.003328	3
9	0.00896	1.00623	0.01379	3
10	-0.056604	0.961525	0.005056	3
11	-0.033613	0.97697	0.018592	3
12				0
13	0.014484	1.01009	0.00191	3
14	0.073939	1.052587	0.016403	3
15	-0.036401	0.975084	0.008785	3
16	-0.009344	0.993544	0.016721	3
17	0.10249	1.073625	0.023111	2
18	0.058332	1.041261	0.008116	3
19	0.077036	1.054849	0.007662	3
20	-0.119705	0.920376	0.034472	3
!sample_table_end
