^SAMPLE = GSM818
!Sample_title = CGH_Albertson_T47D
!Sample_geo_accession = GSM818
!Sample_status = Public on Feb 12 2002
!Sample_submission_date = Jan 17 2002
!Sample_last_update_date = May 27 2005
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = Cell line T47D
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_molecule_ch1 = genomic DNA
!Sample_source_name_ch2 = normal male reference genomic DNA
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_molecule_ch2 = genomic DNA
!Sample_description = Breast ductal carcinoma cell line derived from a pleural effusion in a 54 year old female.
!Sample_platform_id = GPL28
!Sample_contact_name = Donna,G,Albertson
!Sample_contact_email = albertson@cc.ucsf.edu
!Sample_contact_phone = 415 502-8463
!Sample_contact_department = Comprehensive Cancer Center
!Sample_contact_institute = University of California San Francisco
!Sample_contact_address =  
!Sample_contact_city = San Francisco
!Sample_contact_state = CA
!Sample_contact_zip/postal_code = 94143
!Sample_contact_country = USA
!Sample_supplementary_file = NONE
!Sample_series_id = GSE16
!Sample_data_row_count = 2463
#ID_REF = Unique row identifier, genome position order
#VALUE = Mean of log base 2 of replicate Cy3/Cy5 ratios
#LINEAR_RATIO = Mean of replicate Cy3/Cy5 ratios
#LOG2STDDEV = Standard deviation of log base 2 of LINEAR_RATIO
#NO_REPLICATES = Number of replicate spot measurements
!sample_table_begin
ID_REF	VALUE	LINEAR_RATIO	LOG2STDDEV	NO_REPLICATES
1	-0.236879	0.848579	0.010921	3
2				0
3	-0.558996	0.678775	0.004414	3
4	-0.485558	0.714221	0.008906	3
5	-0.465672	0.724134	0.012014	3
6	-0.381866	0.767444	0.004067	3
7	-0.374671	0.771281	0.019344	3
8	-0.387946	0.764217	0.007848	3
9	-0.321115	0.800451	0.007328	3
10	-0.491612	0.71123	0.017942	3
11	-0.44685	0.733643	0.007659	3
12				0
13	-0.40714	0.754117	0.009447	3
14	-0.412984	0.751068	0.008118	3
15	-0.376789	0.77015	0.011701	3
16	-0.351165	0.783951	0.005252	3
17	-0.331551	0.794682	0.01842	3
18	-0.330776	0.795109	0.005707	3
19	-0.382771	0.766963	0.008708	3
20	-0.43933	0.737477	0.005149	3
!sample_table_end
