^SAMPLE = GSM794
!Sample_title = CGH_Albertson_COLO320
!Sample_geo_accession = GSM794
!Sample_status = Public on Feb 12 2002
!Sample_submission_date = Jan 17 2002
!Sample_last_update_date = May 27 2005
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = Cell line COLO320
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_molecule_ch1 = genomic DNA
!Sample_source_name_ch2 = normal male reference genomic DNA
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_molecule_ch2 = genomic DNA
!Sample_description = ATCC cell line <a href="http://www.atcc.org/SearchCatalogs/longview.cfm?view=ce,368640,CCL-220&text=CCL%2D220">CCL-220</a>.
!Sample_description = Colorectal carcinoma (Dukes' type C) in a 55 year old female.
!Sample_description = The line is negative for CEA, CSAp and colon antigen 3.  The cells are weakly positive for keratins and vimentin.
!Sample_platform_id = GPL28
!Sample_contact_name = Donna,G,Albertson
!Sample_contact_email = albertson@cc.ucsf.edu
!Sample_contact_phone = 415 502-8463
!Sample_contact_department = Comprehensive Cancer Center
!Sample_contact_institute = University of California San Francisco
!Sample_contact_address =  
!Sample_contact_city = San Francisco
!Sample_contact_state = CA
!Sample_contact_zip/postal_code = 94143
!Sample_contact_country = USA
!Sample_supplementary_file = NONE
!Sample_series_id = GSE16
!Sample_data_row_count = 2463
#ID_REF = Unique row identifier, genome position order
#VALUE = aka LOG2RATIO, mean of log base 2 of LINEAR_RATIO
#LINEAR_RATIO = Mean of replicate Cy3/Cy5 ratios
#LOG2STDDEV = Standard deviation of VALUE
#NO_REPLICATES = Number of replicate spot measurements
!sample_table_begin
ID_REF	VALUE	LINEAR_RATIO	LOG2STDDEV	NO_REPLICATES
1	0.201021	1.149512	0.028971	3
2				0
3	-0.005848	0.995955	0.007318	3
4	-0.063199	0.95714	0.016842	3
5	-0.02174	0.985044	0.016865	3
6	-0.139384	0.907907	0.012266	3
7	0.006158	1.004277	0.010649	3
8	-0.039007	0.973325	0.009487	3
9	-0.035674	0.975576	0.008336	3
10	-0.098219	0.934185	0.01221	3
11	0.269501	1.205391	0.019025	3
12	-0.10818	0.927758	0.01976	3
13	-0.062183	0.957814	0.012276	3
14	-0.033787	0.976853	0.028035	3
15	0.030129	1.021103	0.016501	3
16	0.006711	1.004663	0.012532	3
17	0.078616	1.056005	0.011832	3
18	-0.036249	0.975187	0.005605	3
19	-0.051757	0.96476	0.010401	3
20	0.047761	1.03366	0.004378	3
!sample_table_end
