^SAMPLE = GSM801
!Sample_title = CGH_Albertson_GM03563-010220
!Sample_geo_accession = GSM801
!Sample_status = Public on Feb 12 2002
!Sample_submission_date = Jan 17 2002
!Sample_last_update_date = Nov 30 2005
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = Cell line GM03563
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = Coriell cell line repository identifier: GM03563
!Sample_characteristics_ch1 = http://locus.umdnj.edu/nigms/nigms_cgi/display.cgi?GM03563
!Sample_biomaterial_provider_ch1 = Coriell Cell Repositories
!Sample_biomaterial_provider_ch1 = Coriell
!Sample_molecule_ch1 = genomic DNA
!Sample_source_name_ch2 = normal male reference genomic DNA
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_biomaterial_provider_ch2 = Coriell
!Sample_molecule_ch2 = genomic DNA
!Sample_description = Coriell Cell Repositories cell line <a href="http://locus.umdnj.edu/nigms/nigms_cgi/display.cgi?GM03563">GM03563</a>.
!Sample_description = Fibroblast cell line derived from a 1 month old male with multiple congenital anomalies.
!Sample_description = Chromosomal abnormalities are present.
!Sample_description = Karyotype is 46,XY,-9,+der(9)t(3;9)(9qter>9p24:: 3q12>3qter)mat
!Sample_platform_id = GPL28
!Sample_contact_name = Donna,G,Albertson
!Sample_contact_email = albertson@cc.ucsf.edu
!Sample_contact_phone = 415 502-8463
!Sample_contact_department = Comprehensive Cancer Center
!Sample_contact_institute = University of California San Francisco
!Sample_contact_address =  
!Sample_contact_city = San Francisco
!Sample_contact_state = CA
!Sample_contact_zip/postal_code = 94143
!Sample_contact_country = USA
!Sample_supplementary_file = NONE
!Sample_series_id = GSE16
!Sample_data_row_count = 2463
#ID_REF = Unique row identifier, genome position order
#VALUE = aka LOG2RATIO, mean of log base 2 of LINEAR_RATIO
#LINEAR_RATIO = Mean of replicate Cy3/Cy5 ratios
#LOG2STDDEV = Standard deviation of VALUE
#NO_REPLICATES = Number of replicate spot measurements
!sample_table_begin
ID_REF	VALUE	LINEAR_RATIO	LOG2STDDEV	NO_REPLICATES
1		0.992156	0.035733	3
2				0
3	0.045282	1.031885	0.003927	3
4	0.062873	1.044544	0.001982	2
5	0.086861	1.062057	0.012866	3
6	0.008131	1.005652	0.005518	3
7	0.079419	1.056593	0.007605	3
8	-0.073242	0.950499	0.012158	3
9	0.052829	1.037297	0.001883	3
10	0.009296	1.006464	0.004056	3
11	-0.047874	0.967361	0.002475	3
12	0.033011	1.023145	0.003387	3
13	0.080088	1.057082	0.001516	3
14	0.060172	1.04259	0.014863	3
15	0.054737	1.03867	0.00434	3
16	0.041872	1.029449	0.007446	3
17	0.093953	1.067291	0.00747	3
18	0.150665	1.110081	0.016087	3
19	0.017451	1.01217	0.010301	3
20	0.059603	1.042179	0.015396	2
!sample_table_end
