^SAMPLE = GSM810
!Sample_title = CGH_Albertson_HCT116
!Sample_geo_accession = GSM810
!Sample_status = Public on Feb 12 2002
!Sample_submission_date = Jan 17 2002
!Sample_last_update_date = May 27 2005
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = Cell line HCT116
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_molecule_ch1 = genomic DNA
!Sample_source_name_ch2 = normal male reference genomic DNA
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_molecule_ch2 = genomic DNA
!Sample_description = ATCC cell line <a href="http://www.atcc.org/SearchCatalogs/longview.cfm?view=ce,446344,CCL-247&text=CCL%2D247">CCL-247</a>.
!Sample_description = Colorectal carcinoma in a male.
!Sample_description = The cells are positive for keratin by immunoperoxidase staining. HCT 116 cells are positive for transforming growth factor beta 1 (TGF beta 1) and beta 2 (TGF beta 2) expression. This line has a mutation in codon 13 of the ras protooncogene, and can be used as a positive control for PCR assays of mutation in this codon.
!Sample_platform_id = GPL28
!Sample_contact_name = Donna,G,Albertson
!Sample_contact_email = albertson@cc.ucsf.edu
!Sample_contact_phone = 415 502-8463
!Sample_contact_department = Comprehensive Cancer Center
!Sample_contact_institute = University of California San Francisco
!Sample_contact_address =  
!Sample_contact_city = San Francisco
!Sample_contact_state = CA
!Sample_contact_zip/postal_code = 94143
!Sample_contact_country = USA
!Sample_supplementary_file = NONE
!Sample_series_id = GSE16
!Sample_data_row_count = 2463
#ID_REF = Unique row identifier, genome position order
#VALUE = aka LOG2RATIO, mean of log base 2 of LINEAR_RATIO
#LINEAR_RATIO = Mean of replicate Cy3/Cy5 ratios
#LOG2STDDEV = Standard deviation of VALUE
#NO_REPLICATES = Number of replicate spot measurements
!sample_table_begin
ID_REF	VALUE	LINEAR_RATIO	LOG2STDDEV	NO_REPLICATES
1	0.048306	1.03405	0.03449	3
2				0
3	0.099494	1.071398	0.003851	3
4	0.052516	1.037072	0.003308	3
5	0.109749	1.079041	0.017106	3
6	0.05291	1.037356	0.000805	2
7	0.024758	1.017309	0.003557	2
8				0
9	-0.01146	0.992088	0.013035	3
10	-0.012977	0.991045	0.005325	3
11	-0.009061	0.993739	0.014461	3
12	-0.009636	0.993343	0.01609	3
13	0.150993	1.110333	0.008394	3
14	0.075809	1.053952	0.004607	3
15	0.161287	1.118284	0.010966	3
16	0.03631	1.025488	0.012919	3
17	0.084627	1.060413	0.009137	3
18	0.026691	1.018673	0.008192	3
19	0.05709	1.040365	0.010048	3
20	0.038481	1.027032	0.00704	3
!sample_table_end
