^SAMPLE = GSM815
!Sample_title = CGH_Albertson_S0034-010405
!Sample_geo_accession = GSM815
!Sample_status = Public on Feb 12 2002
!Sample_submission_date = Jan 17 2002
!Sample_last_update_date = May 27 2005
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = Cell line S0034
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_molecule_ch1 = genomic DNA
!Sample_source_name_ch2 = normal male reference genomic DNA
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_molecule_ch2 = genomic DNA
!Sample_description = A breast carcinoma cell line.
!Sample_platform_id = GPL28
!Sample_contact_name = Donna,G,Albertson
!Sample_contact_email = albertson@cc.ucsf.edu
!Sample_contact_phone = 415 502-8463
!Sample_contact_department = Comprehensive Cancer Center
!Sample_contact_institute = University of California San Francisco
!Sample_contact_address =  
!Sample_contact_city = San Francisco
!Sample_contact_state = CA
!Sample_contact_zip/postal_code = 94143
!Sample_contact_country = USA
!Sample_supplementary_file = NONE
!Sample_series_id = GSE16
!Sample_data_row_count = 2463
#ID_REF = Unique row identifier, genome position order
#VALUE = aka LOG2RATIO, mean of log base 2 of LINEAR_RATIO
#LINEAR_RATIO = Mean of replicate Cy3/Cy5 ratios
#LOG2STDDEV = Standard deviation of VALUE
#NO_REPLICATES = Number of replicate spot measurements
!sample_table_begin
ID_REF	VALUE	LINEAR_RATIO	LOG2STDDEV	NO_REPLICATES
1	-0.10521	0.929669	0.019668	3
2				0
3	0.15565	1.113923	0.015399	3
4	-0.066847	0.954723	0.016796	3
5	0.003133	1.002174	0.015005	2
6	-0.040842	0.972088	0.032278	3
7	0.060541	1.042857	0.00732	3
8	0.014494	1.010097	0.015542	2
9				0
10	-0.131175	0.913087	0.005764	3
11	-0.09288	0.937649	0.031338	3
12	-0.2484	0.841829	0.042721	3
13	-0.038074	0.973954	0.01942	3
14	0.032002	1.02243	0.00598	2
15	-0.073506	0.950326	0.016208	3
16	0.011392	1.007928	0.016827	3
17	0.050788	1.03583	0.002643	3
18				0
19	-0.00352	0.997563	0.034451	2
20	0.029286	1.020507	0.004997	3
!sample_table_end
