^SAMPLE = GSM802
!Sample_title = CGH_Albertson_GM03576-001218
!Sample_geo_accession = GSM802
!Sample_status = Public on Feb 12 2002
!Sample_submission_date = Jan 17 2002
!Sample_last_update_date = Nov 30 2005
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = Cell line GM03576
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = Coriell cell line repository identifier: GM03576
!Sample_characteristics_ch1 = http://locus.umdnj.edu/nigms/nigms_cgi/display.cgi?GM03576
!Sample_biomaterial_provider_ch1 = Coriell Cell Repositories
!Sample_biomaterial_provider_ch1 = Coriell
!Sample_molecule_ch1 = genomic DNA
!Sample_source_name_ch2 = normal male reference genomic DNA
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_biomaterial_provider_ch2 = Coriell
!Sample_molecule_ch2 = genomic DNA
!Sample_description = Coriell Cell Repositories cell line <a href="http://locus.umdnj.edu/nigms/nigms_cgi/display.cgi?GM03576">GM03576</a>.
!Sample_description = Fibroblast cell line derived from a 13 gestational week male fetus.
!Sample_description = Trisomies 2 and 21 are present.
!Sample_description = Karyotype is 48,XY,+2,+21
!Sample_platform_id = GPL28
!Sample_contact_name = Donna,G,Albertson
!Sample_contact_email = albertson@cc.ucsf.edu
!Sample_contact_phone = 415 502-8463
!Sample_contact_department = Comprehensive Cancer Center
!Sample_contact_institute = University of California San Francisco
!Sample_contact_address =  
!Sample_contact_city = San Francisco
!Sample_contact_state = CA
!Sample_contact_zip/postal_code = 94143
!Sample_contact_country = USA
!Sample_supplementary_file = NONE
!Sample_series_id = GSE16
!Sample_data_row_count = 2463
#ID_REF = Unique row identifier, genome position order
#VALUE = aka LOG2RATIO, mean of log base 2 of LINEAR_RATIO
#LINEAR_RATIO = Mean of replicate Cy3/Cy5 ratios
#LOG2STDDEV = Standard deviation of VALUE
#NO_REPLICATES = Number of replicate spot measurements
!sample_table_begin
ID_REF	VALUE	LINEAR_RATIO	LOG2STDDEV	NO_REPLICATES
1		1.058954	0.024586	3
2				0
3	0.004999	1.003471	0.011657	3
4	0.025438	1.017789	0.010179	3
5	0.06363	1.045092	0.007212	3
6	-0.000296	0.999795	0.010731	3
7	0.037151	1.026085	0.00509	3
8	-0.000058	0.99996	0.008986	3
9	0.004519	1.003138	0.014584	3
10	-0.016055	0.988933	0.004102	3
11	-0.010907	0.992468	0.004879	3
12				0
13	0.085673	1.061183	0.004016	3
14	-0.015741	0.989148	0.013325	3
15	0.057077	1.040356	0.009308	3
16	0.044392	1.031249	0.004558	3
17	0.095862	1.068704	0.003766	3
18	-0.019323	0.986696	0.008309	3
19	0.038807	1.027264	0.005279	3
20	0.007202	1.005004	0.004233	3
!sample_table_end
