^SAMPLE = GSM806
!Sample_title = CGH_Albertson_GM07408-010117
!Sample_geo_accession = GSM806
!Sample_status = Public on Feb 12 2002
!Sample_submission_date = Jan 17 2002
!Sample_last_update_date = Nov 30 2005
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = Cell line GMGM07408
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = Coriell cell line repository identifier: GM07408
!Sample_characteristics_ch1 = http://locus.umdnj.edu/nigms/nigms_cgi/display.cgi?GM07408
!Sample_biomaterial_provider_ch1 = Coriell Cell Repositories
!Sample_biomaterial_provider_ch1 = Coriell
!Sample_molecule_ch1 = genomic DNA
!Sample_source_name_ch2 = normal male reference genomic DNA
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_biomaterial_provider_ch2 = Coriell
!Sample_molecule_ch2 = genomic DNA
!Sample_description = Coriell Cell Repositories cell line <a href="http://locus.umdnj.edu/nigms/nigms_cgi/display.cgi?GM07408">GM07408</a>.
!Sample_description = Chorionic villus cell line derived from a 12 gestational week fetus.
!Sample_description = Trisomy 20 is present.
!Sample_description = Karyotype is 7,XX,+20 with 10% of cells showing random chromosome loss.
!Sample_platform_id = GPL28
!Sample_contact_name = Donna,G,Albertson
!Sample_contact_email = albertson@cc.ucsf.edu
!Sample_contact_phone = 415 502-8463
!Sample_contact_department = Comprehensive Cancer Center
!Sample_contact_institute = University of California San Francisco
!Sample_contact_address =  
!Sample_contact_city = San Francisco
!Sample_contact_state = CA
!Sample_contact_zip/postal_code = 94143
!Sample_contact_country = USA
!Sample_supplementary_file = NONE
!Sample_series_id = GSE16
!Sample_data_row_count = 2463
#ID_REF = Unique row identifier, genome position order
#VALUE = aka LOG2RATIO, mean of log base 2 of LINEAR_RATIO
#LINEAR_RATIO = Mean of replicate Cy3/Cy5 ratios
#LOG2STDDEV = Standard deviation of VALUE
#NO_REPLICATES = Number of replicate spot measurements
!sample_table_begin
ID_REF	VALUE	LINEAR_RATIO	LOG2STDDEV	NO_REPLICATES
1	0.094405	1.067625	0.02584	3
2				0
3	-0.042103	0.971238	0.010132	3
4	-0.026335	0.981912	0.002803	3
5	-0.031484	0.978414	0.011016	3
6	0.002378	1.001649	0.006956	3
7	-0.013998	0.990345	0.014428	3
8	-0.01435	0.990103	0.009583	3
9	-0.010277	0.992902	0.013488	3
10	-0.032799	0.977522	0.010389	3
11	-0.009948	0.993128	0.01811	3
12	0.005612	1.003897	0.006544	3
13	0.046674	1.032881	0.012148	3
14	-0.001207	0.999164	0.015193	3
15	0.035422	1.024856	0.005943	3
16	-0.032072	0.978015	0.004329	3
17	-0.006889	0.995236	0.001533	3
18				0
19	0.032471	1.022762	0.005665	3
20	-0.025308	0.982611	0.0104	3
!sample_table_end
