^SAMPLE = GSM491141
!Sample_title = SF7192 p53 MT pten WT Map250kNsp
!Sample_geo_accession = GSM491141
!Sample_status = Public on Apr 22 2010
!Sample_submission_date = Dec 28 2009
!Sample_last_update_date = Apr 22 2010
!Sample_type = genomic
!Sample_channel_count = 1
!Sample_source_name_ch1 = SRCID:SRC107478,PRBID:PRB16783,SRCNAME:7192,RAWFILE:16783_7192_GBMTumors_SPR460_Map250kNsp.CEL
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = source: UCSF
!Sample_characteristics_ch1 = sample id: SF7192
!Sample_characteristics_ch1 = genome/variation: p53 exon 4-8 mutation status: HETSUB.220Y>H
!Sample_characteristics_ch1 = genome/variation: pten exon 5-6 mutation status: WT
!Sample_treatment_protocol_ch1 = None
!Sample_growth_protocol_ch1 = None
!Sample_molecule_ch1 = genomic DNA
!Sample_extract_protocol_ch1 = Qiagen's  AllPrep DNA/RNA extraction kit (Catalog #80204) was used to extract DNA and RNA according to manufacturer's protocol
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Affymetrix 500K Human Mapping 500K array manual
!Sample_hyb_protocol = According to manufacturer's protocol (Affymetrix)
!Sample_scan_protocol = According to manufacturer's protocol (Affymetrix)
!Sample_description = SRCID:SRC107478,PRBID:PRB16783,SRCNAME:7192,RAWFILE:16783_7192_GBMTumors_SPR460_Map250kNsp.CEL
!Sample_data_processing = The genotyping copy number data were generated with Affymetrix's CNAT algorithm, version 4.  Nsp and Sty copy number data were also estimated using the dChip algorithm (2006 version, build Dec 22, 2005), normalized against normal hapmap samples (downloaded from affymetrix). Segmentation of copy number data was performed with GLAD, version: 1.16.0.
!Sample_platform_id = GPL3718
!Sample_contact_name = Anthony,Steve,Guerrero
!Sample_contact_department = Bioinformatics
!Sample_contact_institute = Genentech
!Sample_contact_address = 1 DNA Way
!Sample_contact_city = South San Francisco
!Sample_contact_state = CA
!Sample_contact_zip/postal_code = 94080
!Sample_contact_country = USA
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM491nnn/GSM491141/suppl/GSM491141.CEL.gz
!Sample_series_id = GSE19612
!Sample_data_row_count = 262338
#ID_REF = Probe
#CNAT4 = Affy CNAT4 normalized copy number
#CNAT4_GLAD = Affy CNAT4 normalized copy number following GLAD segmentation
#dCHIP = dChip normalized copy number
#VALUE = dChip normalized copy number following GLAD segmentation
!sample_table_begin
ID_REF	CNAT4	CNAT4_GLAD	dCHIP	VALUE
SNP_A-1780619	2.27343845367432	2.04606652259827	1.55585134029388	2.07984018325806
SNP_A-1780618	1.77542448043823	2.03580570220947	1.79675638675690	2.05062556266785
SNP_A-1780617	2.20162987709045	2.04982328414917	2.50606322288513	2.07868075370789
SNP_A-1780778	1.38300752639771	2.03688144683838	1.24733543395996	2.06125402450562
SNP_A-1780616	1.44295263290405	2.03175210952759	1.43799221515656	2.04719400405884
SNP_A-1780613	1.82150006294250	2.03175210952759	1.50869548320770	2.04239082336426
SNP_A-1780419	1.89255213737488	2.04606652259827	2.27347922325134	2.07984018325806
SNP_A-1780612	1.76363372802734	2.04606652259827	2.01021265983582	2.07984018325806
SNP_A-1780418	1.97269380092621	2.03688144683838	2.01837754249573	2.06125402450562
SNP_A-1780611	2.65617275238037	2.03580570220947	2.96319913864136	2.05062556266785
SNP_A-1780610	2.09792184829712	2.05121827125549	1.90042924880981	2.07875370979309
SNP_A-1780415	2.18184566497803	2.03688144683838	2.47671103477478	2.06125402450562
SNP_A-1780576	2.05437564849854	2.04606652259827	1.82033455371857	2.07984018325806
SNP_A-1780413	1.65210568904877	2.04254245758057	1.42836129665375	2.06539487838745
SNP_A-1780412	2.25058960914612	2.03688144683838	2.05973649024963	2.06125402450562
SNP_A-1780574	3.28862380981445	2.03950786590576	3.07640647888184	2.06274080276489
SNP_A-1780379	1.00527763366699	1.80746340751648	0.74339497089386	1.72871840000153
SNP_A-1780572	2.42470455169678	2.03643870353699	2.11551284790039	2.05974316596985
SNP_A-1780378	1.95366215705872	2.03643870353699	2.22477412223816	2.05974316596985
SNP_A-1780377	1.57146370410919	2.04254245758057	1.29278981685638	2.06539487838745
!sample_table_end
