^SAMPLE = GSM198614
!Sample_title = Tumor 8, Grade 1, Age 76, neither ALT- nor telomerase-positive
!Sample_geo_accession = GSM198614
!Sample_status = Public on May 01 2008
!Sample_submission_date = Jun 06 2007
!Sample_last_update_date = Jun 07 2007
!Sample_type = genomic
!Sample_channel_count = 1
!Sample_source_name_ch1 = Liposarcoma
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = Tumor 8, Grade 1, Age 76, neither ALT- nor telomerase-positive.
!Sample_biomaterial_provider_ch1 = Fox Chase Cancer Center Tumor Bank
!Sample_molecule_ch1 = genomic DNA
!Sample_extract_protocol_ch1 = Genomic DNA was prepared from tumor samples by SDS lysis, proteinase K treatment and phenol extraction. DNA was checked for purity using a NanoDrop spectrophotometer and for excessive shearing by agarose gel electrophoresis.
!Sample_label_ch1 = Biotin
!Sample_label_protocol_ch1 = An overview of Affymetrix SNP labeling protocol is available at: www.affymetrix.com. Briefly, tumor genomic DNA was subjected to restriction digestion by XbaI and the resulting fragments were ligated to adaptor sequences and PCR amplified. This PCR product was then fragmented by treatment with DNaseI, denatured to generate single stranded product and end-labeled by terminal deoxynucleotidyl transferase.
!Sample_hyb_protocol = See "Pei, J., Kruger, W.D., and Testa, J.R. (2006). High-resolution analysis of 9p loss in human cancer cells using single nucleotide polymorphism-based mapping arrays. Cancer Genet Cytogenet 170, 65-68."
!Sample_scan_protocol = See "Pei, J., Kruger, W.D., and Testa, J.R. (2006). High-resolution analysis of 9p loss in human cancer cells using single nucleotide polymorphism-based mapping arrays. Cancer Genet Cytogenet 170, 65-68."
!Sample_description = N/A
!Sample_data_processing = See "Pei, J., Kruger, W.D., and Testa, J.R. (2006). High-resolution analysis of 9p loss in human cancer cells using single nucleotide polymorphism-based mapping arrays. Cancer Genet Cytogenet 170, 65-68." Briefly, The intensity of probe signals following hybridization to the GeneChip was determined using Affymetrix GeneChip Operating Software v1.2. The Affymetrix Copy Number Analysis Tool v2.1 was used to generate copy number calls for each of 57,290 discreet SNP markers, using the default genomic smoothing window setting of 0.5 Mb. Copy number (CN) calls were generated using the Affymetrix Dynamic Model.
!Sample_platform_id = GPL2005
!Sample_contact_name = Jay,,Johnson
!Sample_contact_email = johnsja4@memorialhealth.com
!Sample_contact_institute = Memorial Health University Medical Center
!Sample_contact_address = 4700 Waters Ave
!Sample_contact_city = Savannah
!Sample_contact_state = GA
!Sample_contact_zip/postal_code = 31404
!Sample_contact_country = USA
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM198nnn/GSM198614/suppl/GSM198614.CEL.gz
!Sample_series_id = GSE8046
!Sample_data_row_count = 58960
#ID_REF = Affymetrix SNP marker probe ID
#JP-050206-50KXba-K9_Broccoli_Call = Genotype
#JP-050206-50KXba-K9_Broccoli_SPA_CN = SPA Copy Number
#JP-050206-50KXba-K9_Broccoli_SPA_pVal = SPA p-value
#VALUE = GSA Copy Number
#JP-050206-50KXba-K9_Broccoli_GSA_pVal = GSA p-value
#JP-050206-50KXba-K9_Broccoli_LOH = Likelihood that a SNP is in LOH state (closer to 1 indicates a strong likelihood of LOH)
!sample_table_begin
ID_REF	JP-050206-50KXba-K9_Broccoli_Call	JP-050206-50KXba-K9_Broccoli_SPA_CN	JP-050206-50KXba-K9_Broccoli_SPA_pVal	VALUE	JP-050206-50KXba-K9_Broccoli_GSA_pVal	JP-050206-50KXba-K9_Broccoli_LOH
SNP_A-1677174	AA	2.16	0.46	2.16	0.46	2.41
SNP_A-1678466	BB	4.42	4.12	3.7	3.04	2.41
SNP_A-1676440	AA	4.16	2.99	3.69	3.04	2.41
SNP_A-1662392	AA	3.76	3.77	3.56	2.89	2.41
SNP_A-1685736	AA	3.99	3.59	3.56	2.89	2.41
SNP_A-1681384	BB	2.99	2.28	3.56	2.89	2.41
SNP_A-1642581	AA	3.78	2.74	3.53	2.85	2.41
SNP_A-1669029	AA	2.69	1.64	3.53	2.85	2.41
SNP_A-1718237	AA	2.84	1.19	3.32	2.64	2.41
SNP_A-1748467	AA	3.27	3.5	3.32	2.64	2.41
SNP_A-1705537	BB	4.07	20	3.68	12.06	2.41
SNP_A-1683756	AA	4.05	20	3.68	12.06	2.41
SNP_A-1696782	BB	2.77	1.31	3.28	8.41	2.41
SNP_A-1673422	BB	3.83	6.62	3.27	8.27	2.41
SNP_A-1670878	AB	2.22	0.59	2.91	2.9	0
SNP_A-1743511	AA	2.67	1.18	2.91	2.9	88.8
SNP_A-1736635	BB	3.24	3.45	2.89	2.44	88.8
SNP_A-1666738	BB	2.76	4.5	3.03	2.6	88.8
SNP_A-1721407	AA	3.63	2.68	3.24	5.83	88.8
SNP_A-1686722	AA	2.82	2.24	3.24	5.9	88.8
!sample_table_end
