^SAMPLE = GSM198676
!Sample_title = Tumor 26, Grade 1, Age 57, neither ALT- or telomerase-positive
!Sample_geo_accession = GSM198676
!Sample_status = Public on May 01 2008
!Sample_submission_date = Jun 06 2007
!Sample_last_update_date = Jun 07 2007
!Sample_type = genomic
!Sample_channel_count = 1
!Sample_source_name_ch1 = Liposarcoma
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = Tumor 26, Grade 1, Age 57, neither ALT- or telomerase-positive.
!Sample_biomaterial_provider_ch1 = Fox Chase Cancer Center Tumor Bank
!Sample_molecule_ch1 = genomic DNA
!Sample_extract_protocol_ch1 = Genomic DNA was prepared from tumor samples by SDS lysis, proteinase K treatment and phenol extraction. DNA was checked for purity using a NanoDrop spectrophotometer and for excessive shearing by agarose gel electrophoresis.
!Sample_label_ch1 = Biotin
!Sample_label_protocol_ch1 = An overview of Affymetrix SNP labeling protocol is available at: www.affymetrix.com. Briefly, tumor genomic DNA was subjected to restriction digestion by XbaI and the resulting fragments were ligated to adaptor sequences and PCR amplified. This PCR product was then fragmented by treatment with DNaseI, denatured to generate single stranded product and end-labeled by terminal deoxynucleotidyl transferase.
!Sample_hyb_protocol = See "Pei, J., Kruger, W.D., and Testa, J.R. (2006). High-resolution analysis of 9p loss in human cancer cells using single nucleotide polymorphism-based mapping arrays. Cancer Genet Cytogenet 170, 65-68."
!Sample_scan_protocol = See "Pei, J., Kruger, W.D., and Testa, J.R. (2006). High-resolution analysis of 9p loss in human cancer cells using single nucleotide polymorphism-based mapping arrays. Cancer Genet Cytogenet 170, 65-68."
!Sample_description = N/A
!Sample_data_processing = See "Pei, J., Kruger, W.D., and Testa, J.R. (2006). High-resolution analysis of 9p loss in human cancer cells using single nucleotide polymorphism-based mapping arrays. Cancer Genet Cytogenet 170, 65-68." Briefly, The intensity of probe signals following hybridization to the GeneChip was determined using Affymetrix GeneChip Operating Software v1.2. The Affymetrix Copy Number Analysis Tool v2.1 was used to generate copy number calls for each of 57,290 discreet SNP markers, using the default genomic smoothing window setting of 0.5 Mb. Copy number (CN) calls were generated using the Affymetrix Dynamic Model.
!Sample_platform_id = GPL2005
!Sample_contact_name = Jay,,Johnson
!Sample_contact_email = johnsja4@memorialhealth.com
!Sample_contact_institute = Memorial Health University Medical Center
!Sample_contact_address = 4700 Waters Ave
!Sample_contact_city = Savannah
!Sample_contact_state = GA
!Sample_contact_zip/postal_code = 31404
!Sample_contact_country = USA
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM198nnn/GSM198676/suppl/GSM198676.CEL.gz
!Sample_series_id = GSE8046
!Sample_data_row_count = 59015
#ID_REF = Affymetrix SNP marker probe ID
#JP-040605-50KXba-TB-92-113_Call = Genotype
#JP-040605-50KXba-TB-92-113_SPA_CN = SPA copy number
#JP-040605-50KXba-TB-92-113_SPA_pVal = SPA p-value
#VALUE = GSA Copy Number
#JP-040605-50KXba-TB-92-113_GSA_pVal = GSA p-value
#JP-040605-50KXba-TB-92-113_LOH = Likelihood that a SNP is in LOH state (closer to 1 indicates a strong likelihood of LOH)
!sample_table_begin
ID_REF	JP-040605-50KXba-TB-92-113_Call	JP-040605-50KXba-TB-92-113_SPA_CN	JP-040605-50KXba-TB-92-113_SPA_pVal	VALUE	JP-040605-50KXba-TB-92-113_GSA_pVal	JP-040605-50KXba-TB-92-113_LOH
SNP_A-1677174	AA	1.9	-0.52	1.9	-0.52	1.66
SNP_A-1678466	BB	2.42	0.7	2.35	0.7	1.66
SNP_A-1676440	AA	2.24	0.46	2.35	0.7	1.66
SNP_A-1662392	AA	2.65	1.2	2.21	0.39	1.66
SNP_A-1685736	AA	2.74	1.2	2.21	0.39	1.66
SNP_A-1681384	BB	1.99	-0.37	2.21	0.38	1.66
SNP_A-1642581	BB	2.5	2.24	2.19	0.36	1.66
SNP_A-1669029	AA	1.91	-0.51	2.19	0.35	1.66
SNP_A-1718237	AA	1.23	-2.01	2.14	0.28	1.66
SNP_A-1748467	AA	2.1	0.37	2.14	0.28	1.66
SNP_A-1705537	AB	1.97	-0.43	1.96	-0.33	0
SNP_A-1683756	AA	2.26	0.72	1.96	-0.33	0.21
SNP_A-1696782	AB	2.28	1.05	2.21	0.32	0
SNP_A-1673422	AB	1.32	-2.71	2.22	0.33	0
SNP_A-1670878	AA	2.58	0.96	2.08	0.23	0.58
SNP_A-1743511	BB	2.93	2.52	2.08	0.23	0.58
SNP_A-1736635	BB	1.67	-1.14	2.36	0.5	0.58
SNP_A-1666738	AB	1.6	-2.33	2.5	0.74	0
SNP_A-1721407	AA	2.62	0.97	2.29	0.16	0.28
SNP_A-1686722	AB	2.8	2.13	2.29	0.15	0
!sample_table_end
