^SAMPLE = GSM198668
!Sample_title = Tumor 15, Grade 1, Age 64, telomerase-positive
!Sample_geo_accession = GSM198668
!Sample_status = Public on May 01 2008
!Sample_submission_date = Jun 06 2007
!Sample_last_update_date = Jun 07 2007
!Sample_type = genomic
!Sample_channel_count = 1
!Sample_source_name_ch1 = Liposarcoma
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = Tumor 15, Grade 1, Age 64, telomerase-positive.
!Sample_biomaterial_provider_ch1 = Fox Chase Cancer Center Tumor Bank
!Sample_molecule_ch1 = genomic DNA
!Sample_extract_protocol_ch1 = Genomic DNA was prepared from tumor samples by SDS lysis, proteinase K treatment and phenol extraction. DNA was checked for purity using a NanoDrop spectrophotometer and for excessive shearing by agarose gel electrophoresis.
!Sample_label_ch1 = Biotin
!Sample_label_protocol_ch1 = An overview of Affymetrix SNP labeling protocol is available at: www.affymetrix.com. Briefly, tumor genomic DNA was subjected to restriction digestion by XbaI and the resulting fragments were ligated to adaptor sequences and PCR amplified. This PCR product was then fragmented by treatment with DNaseI, denatured to generate single stranded product and end-labeled by terminal deoxynucleotidyl transferase.
!Sample_hyb_protocol = See "Pei, J., Kruger, W.D., and Testa, J.R. (2006). High-resolution analysis of 9p loss in human cancer cells using single nucleotide polymorphism-based mapping arrays. Cancer Genet Cytogenet 170, 65-68."
!Sample_scan_protocol = See "Pei, J., Kruger, W.D., and Testa, J.R. (2006). High-resolution analysis of 9p loss in human cancer cells using single nucleotide polymorphism-based mapping arrays. Cancer Genet Cytogenet 170, 65-68."
!Sample_description = N/A
!Sample_data_processing = See "Pei, J., Kruger, W.D., and Testa, J.R. (2006). High-resolution analysis of 9p loss in human cancer cells using single nucleotide polymorphism-based mapping arrays. Cancer Genet Cytogenet 170, 65-68." Briefly, The intensity of probe signals following hybridization to the GeneChip was determined using Affymetrix GeneChip Operating Software v1.2. The Affymetrix Copy Number Analysis Tool v2.1 was used to generate copy number calls for each of 57,290 discreet SNP markers, using the default genomic smoothing window setting of 0.5 Mb. Copy number (CN) calls were generated using the Affymetrix Dynamic Model.
!Sample_platform_id = GPL2005
!Sample_contact_name = Jay,,Johnson
!Sample_contact_email = johnsja4@memorialhealth.com
!Sample_contact_institute = Memorial Health University Medical Center
!Sample_contact_address = 4700 Waters Ave
!Sample_contact_city = Savannah
!Sample_contact_state = GA
!Sample_contact_zip/postal_code = 31404
!Sample_contact_country = USA
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM198nnn/GSM198668/suppl/GSM198668.CEL.gz
!Sample_series_id = GSE8046
!Sample_data_row_count = 59015
#ID_REF = Affymetrix SNP marker probe ID
#JP-041705-50KXba-03-199_Call = Genotype
#JP-041705-50KXba-03-199_SPA_CN = SPA copy number
#JP-041705-50KXba-03-199_SPA_pVal = SPA p-value
#VALUE = GSA Copy Number
#JP-041705-50KXba-03-199_GSA_pVal = GSA p-value
#JP-041705-50KXba-03-199_LOH = Likelihood that a SNP is in LOH state (closer to 1 indicates a strong likelihood of LOH)
!sample_table_begin
ID_REF	JP-041705-50KXba-03-199_Call	JP-041705-50KXba-03-199_SPA_CN	JP-041705-50KXba-03-199_SPA_pVal	VALUE	JP-041705-50KXba-03-199_GSA_pVal	JP-041705-50KXba-03-199_LOH
SNP_A-1677174	AB	2.6	1.32	2.6	1.32	0
SNP_A-1678466	BB	2.87	1.32	3.38	2.83	1.54
SNP_A-1676440	AA	6.1	5.97	3.38	2.83	1.54
SNP_A-1662392	AA	3.43	2.92	3.25	2.58	1.54
SNP_A-1685736	AA	2.88	1.43	3.25	2.58	1.54
SNP_A-1681384	BB	2.97	2.23	3.25	2.58	1.54
SNP_A-1642581	BB	2.87	4.93	3.22	2.55	1.54
SNP_A-1669029	AA	2.46	1.04	3.22	2.55	1.54
SNP_A-1718237	AA	2.63	0.91	2.87	2.25	1.54
SNP_A-1748467	AA	2.92	2.31	2.87	2.25	1.54
SNP_A-1705537	AB	2.6	1.83	2.58	1.46	0
SNP_A-1683756	AA	2.12	0.44	2.58	1.46	0.52
SNP_A-1696782	BB	2.86	1.47	3.21	5.22	0.52
SNP_A-1673422	BB	2.76	2.12	3.22	5.32	0.52
SNP_A-1670878	AB	3.9	6.45	3.55	6.71	0
SNP_A-1743511	BB	5.15	20	3.55	6.71	0.35
SNP_A-1736635	BB	3.35	3.84	3.61	6.72	0.35
SNP_A-1666738	AB	3.13	5.62	3.63	6.23	0
SNP_A-1721407	AA	3.34	2.15	3.21	3.71	1.02
SNP_A-1686722	AA	2.72	1.9	3.21	3.72	1.02
!sample_table_end
