^SAMPLE = GSM198675
!Sample_title = Tumor 32, Grade 3, Age 44
!Sample_geo_accession = GSM198675
!Sample_status = Public on May 01 2008
!Sample_submission_date = Jun 06 2007
!Sample_last_update_date = Jun 07 2007
!Sample_type = genomic
!Sample_channel_count = 1
!Sample_source_name_ch1 = Liposarcoma
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = Tumor 32, Grade 3, Age 44, majority of the tumor lacks characteristics consistent with ALT- or telomerase-positivity.  Some cells may be telomerase-positive, however.
!Sample_biomaterial_provider_ch1 = Fox Chase Cancer Center Tumor Bank
!Sample_molecule_ch1 = genomic DNA
!Sample_extract_protocol_ch1 = Genomic DNA was prepared from tumor samples by SDS lysis, proteinase K treatment and phenol extraction. DNA was checked for purity using a NanoDrop spectrophotometer and for excessive shearing by agarose gel electrophoresis.
!Sample_label_ch1 = Biotin
!Sample_label_protocol_ch1 = An overview of Affymetrix SNP labeling protocol is available at: www.affymetrix.com. Briefly, tumor genomic DNA was subjected to restriction digestion by XbaI and the resulting fragments were ligated to adaptor sequences and PCR amplified. This PCR product was then fragmented by treatment with DNaseI, denatured to generate single stranded product and end-labeled by terminal deoxynucleotidyl transferase.
!Sample_hyb_protocol = See "Pei, J., Kruger, W.D., and Testa, J.R. (2006). High-resolution analysis of 9p loss in human cancer cells using single nucleotide polymorphism-based mapping arrays. Cancer Genet Cytogenet 170, 65-68."
!Sample_scan_protocol = See "Pei, J., Kruger, W.D., and Testa, J.R. (2006). High-resolution analysis of 9p loss in human cancer cells using single nucleotide polymorphism-based mapping arrays. Cancer Genet Cytogenet 170, 65-68."
!Sample_description = N/A
!Sample_data_processing = See "Pei, J., Kruger, W.D., and Testa, J.R. (2006). High-resolution analysis of 9p loss in human cancer cells using single nucleotide polymorphism-based mapping arrays. Cancer Genet Cytogenet 170, 65-68." Briefly, The intensity of probe signals following hybridization to the GeneChip was determined using Affymetrix GeneChip Operating Software v1.2. The Affymetrix Copy Number Analysis Tool v2.1 was used to generate copy number calls for each of 57,290 discreet SNP markers, using the default genomic smoothing window setting of 0.5 Mb. Copy number (CN) calls were generated using the Affymetrix Dynamic Model.
!Sample_platform_id = GPL2005
!Sample_contact_name = Jay,,Johnson
!Sample_contact_email = johnsja4@memorialhealth.com
!Sample_contact_institute = Memorial Health University Medical Center
!Sample_contact_address = 4700 Waters Ave
!Sample_contact_city = Savannah
!Sample_contact_state = GA
!Sample_contact_zip/postal_code = 31404
!Sample_contact_country = USA
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM198nnn/GSM198675/suppl/GSM198675.CEL.gz
!Sample_series_id = GSE8046
!Sample_data_row_count = 58960
#ID_REF = Affymetrix SNP marker probe ID
#JP-042606-50KXba-K4_Broccoli_Call = Genotype
#JP-042606-50KXba-K4_Broccoli_SPA_CN = SPA copy number
#JP-042606-50KXba-K4_Broccoli_SPA_pVal = SPA p-value
#VALUE = GSA Copy Number
#JP-042606-50KXba-K4_Broccoli_GSA_pVal = GSA p-value
#JP-042606-50KXba-K4_Broccoli_LOH = Likelihood that a SNP is in LOH state (closer to 1 indicates a strong likelihood of LOH)
!sample_table_begin
ID_REF	JP-042606-50KXba-K4_Broccoli_Call	JP-042606-50KXba-K4_Broccoli_SPA_CN	JP-042606-50KXba-K4_Broccoli_SPA_pVal	VALUE	JP-042606-50KXba-K4_Broccoli_GSA_pVal	JP-042606-50KXba-K4_Broccoli_LOH
SNP_A-1677174	AA	3.38	3.7	3.38	3.7	1.66
SNP_A-1678466	BB	2.38	0.64	2.71	3.85	1.66
SNP_A-1676440	AA	1.11	-2.4	2.71	3.87	1.66
SNP_A-1662392	AA	2.31	0.63	2.91	3.87	1.66
SNP_A-1685736	AA	2	0.34	2.91	3.87	1.66
SNP_A-1681384	BB	2.9	2.04	2.91	3.9	1.66
SNP_A-1642581	BB	4.25	20	2.97	4.14	1.66
SNP_A-1669029	AA	4.25	7.22	2.98	4.15	1.66
SNP_A-1718237	AA	3.52	2.2	3.32	5.57	1.66
SNP_A-1748467	AA	3.76	5.31	3.32	5.57	1.66
SNP_A-1705537	NoCall	3.37	5.23	2.98	3.75	1.66
SNP_A-1683756	AB	3.3	6.92	2.98	3.75	0
SNP_A-1696782	BB	1.93	-0.42	3.17	6.15	0.2
SNP_A-1673422	AB	3.31	3.19	3.17	6.2	0
SNP_A-1670878	AB	2.96	2.69	2.87	5.03	0
SNP_A-1743511	BB	4.22	20	2.87	5.03	0.62
SNP_A-1736635	BB	1.89	-0.54	2.8	4.84	0.62
SNP_A-1666738	AA	2.84	4.64	2.76	4.15	0.62
SNP_A-1721407	AB	1.98	-0.38	2.58	4.39	0
SNP_A-1686722	AA	2.88	2.45	2.59	4.47	0.62
!sample_table_end
