^SAMPLE = GSM198674
!Sample_title = Tumor 31, Grade 3, Age 78, neither ALT- or telomerase-positive
!Sample_geo_accession = GSM198674
!Sample_status = Public on May 01 2008
!Sample_submission_date = Jun 06 2007
!Sample_last_update_date = Jun 07 2007
!Sample_type = genomic
!Sample_channel_count = 1
!Sample_source_name_ch1 = Liposarcoma
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = Tumor 31, Grade 3, Age 78, neither ALT- or telomerase-positive.
!Sample_biomaterial_provider_ch1 = Fox Chase Cancer Center Tumor Bank
!Sample_molecule_ch1 = genomic DNA
!Sample_extract_protocol_ch1 = Genomic DNA was prepared from tumor samples by SDS lysis, proteinase K treatment and phenol extraction. DNA was checked for purity using a NanoDrop spectrophotometer and for excessive shearing by agarose gel electrophoresis.
!Sample_label_ch1 = Biotin
!Sample_label_protocol_ch1 = An overview of Affymetrix SNP labeling protocol is available at: www.affymetrix.com. Briefly, tumor genomic DNA was subjected to restriction digestion by XbaI and the resulting fragments were ligated to adaptor sequences and PCR amplified. This PCR product was then fragmented by treatment with DNaseI, denatured to generate single stranded product and end-labeled by terminal deoxynucleotidyl transferase.
!Sample_hyb_protocol = See "Pei, J., Kruger, W.D., and Testa, J.R. (2006). High-resolution analysis of 9p loss in human cancer cells using single nucleotide polymorphism-based mapping arrays. Cancer Genet Cytogenet 170, 65-68."
!Sample_scan_protocol = See "Pei, J., Kruger, W.D., and Testa, J.R. (2006). High-resolution analysis of 9p loss in human cancer cells using single nucleotide polymorphism-based mapping arrays. Cancer Genet Cytogenet 170, 65-68."
!Sample_description = N/A
!Sample_data_processing = See "Pei, J., Kruger, W.D., and Testa, J.R. (2006). High-resolution analysis of 9p loss in human cancer cells using single nucleotide polymorphism-based mapping arrays. Cancer Genet Cytogenet 170, 65-68." Briefly, The intensity of probe signals following hybridization to the GeneChip was determined using Affymetrix GeneChip Operating Software v1.2. The Affymetrix Copy Number Analysis Tool v2.1 was used to generate copy number calls for each of 57,290 discreet SNP markers, using the default genomic smoothing window setting of 0.5 Mb. Copy number (CN) calls were generated using the Affymetrix Dynamic Model.
!Sample_platform_id = GPL2005
!Sample_contact_name = Jay,,Johnson
!Sample_contact_email = johnsja4@memorialhealth.com
!Sample_contact_institute = Memorial Health University Medical Center
!Sample_contact_address = 4700 Waters Ave
!Sample_contact_city = Savannah
!Sample_contact_state = GA
!Sample_contact_zip/postal_code = 31404
!Sample_contact_country = USA
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM198nnn/GSM198674/suppl/GSM198674.CEL.gz
!Sample_series_id = GSE8046
!Sample_data_row_count = 58960
#ID_REF = Affymetrix SNP marker probe ID
#JP-042606-50KXba-K1_Broccoli_Call = Genotype
#JP-042606-50KXba-K1_Broccoli_SPA_CN = SPA Copy Number
#JP-042606-50KXba-K1_Broccoli_SPA_pVal = SPA p-value
#VALUE = GSA Copy Number
#JP-042606-50KXba-K1_Broccoli_GSA_pVal = GSA p-value
#JP-042606-50KXba-K1_Broccoli_LOH = Likelihood that a SNP is in LOH state (closer to 1 indicates a strong likelihood of LOH)
!sample_table_begin
ID_REF	JP-042606-50KXba-K1_Broccoli_Call	JP-042606-50KXba-K1_Broccoli_SPA_CN	JP-042606-50KXba-K1_Broccoli_SPA_pVal	VALUE	JP-042606-50KXba-K1_Broccoli_GSA_pVal	JP-042606-50KXba-K1_Broccoli_LOH
SNP_A-1677174	AA	1.96	-0.41	1.96	-0.41	1.25
SNP_A-1678466	BB	2.65	1	2.71	1.46	1.25
SNP_A-1676440	AA	2.86	1.14	2.71	1.46	1.25
SNP_A-1662392	AA	2.73	1.36	2.72	1.65	1.25
SNP_A-1685736	AA	2.74	1.2	2.72	1.65	1.25
SNP_A-1681384	BB	2.57	1.2	2.72	1.65	1.25
SNP_A-1642581	BB	2.49	2.13	2.72	1.69	1.25
SNP_A-1669029	AA	2.92	2.32	2.72	1.69	1.25
SNP_A-1718237	AB	2.54	1.14	2.71	1.87	0
SNP_A-1748467	AB	2.97	3.57	2.71	1.87	0
SNP_A-1705537	AB	3.39	5.68	2.73	2.63	0
SNP_A-1683756	AA	3.14	4.1	2.73	2.63	0.52
SNP_A-1696782	BB	1.98	-0.36	2.59	2.05	0.52
SNP_A-1673422	BB	2.4	1.02	2.58	2.02	0.52
SNP_A-1670878	AB	2.06	0.32	2.21	0.46	0
SNP_A-1743511	AB	2.52	1.43	2.21	0.46	0
SNP_A-1736635	BB	2.27	0.66	2.27	0.65	0.7
SNP_A-1666738	BB	2	-0.42	2.31	0.68	0.7
SNP_A-1721407	AA	2.16	0.41	2.32	0.73	0.7
SNP_A-1686722	AB	2.6	1.52	2.33	0.74	0
!sample_table_end
