^SAMPLE = GSM198670
!Sample_title = Tumor 23, Grade 2, Age 52, telomerase-positive
!Sample_geo_accession = GSM198670
!Sample_status = Public on May 01 2008
!Sample_submission_date = Jun 06 2007
!Sample_last_update_date = Jun 07 2007
!Sample_type = genomic
!Sample_channel_count = 1
!Sample_source_name_ch1 = Liposarcoma
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = Tumor 23, Grade 2, Age 52, telomerase-positive.
!Sample_biomaterial_provider_ch1 = Fox Chase Cancer Center Tumor Bank
!Sample_molecule_ch1 = genomic DNA
!Sample_extract_protocol_ch1 = Genomic DNA was prepared from tumor samples by SDS lysis, proteinase K treatment and phenol extraction. DNA was checked for purity using a NanoDrop spectrophotometer and for excessive shearing by agarose gel electrophoresis.
!Sample_label_ch1 = Biotin
!Sample_label_protocol_ch1 = An overview of Affymetrix SNP labeling protocol is available at: www.affymetrix.com. Briefly, tumor genomic DNA was subjected to restriction digestion by XbaI and the resulting fragments were ligated to adaptor sequences and PCR amplified. This PCR product was then fragmented by treatment with DNaseI, denatured to generate single stranded product and end-labeled by terminal deoxynucleotidyl transferase.
!Sample_hyb_protocol = See "Pei, J., Kruger, W.D., and Testa, J.R. (2006). High-resolution analysis of 9p loss in human cancer cells using single nucleotide polymorphism-based mapping arrays. Cancer Genet Cytogenet 170, 65-68."
!Sample_scan_protocol = See "Pei, J., Kruger, W.D., and Testa, J.R. (2006). High-resolution analysis of 9p loss in human cancer cells using single nucleotide polymorphism-based mapping arrays. Cancer Genet Cytogenet 170, 65-68."
!Sample_description = N/A
!Sample_data_processing = See "Pei, J., Kruger, W.D., and Testa, J.R. (2006). High-resolution analysis of 9p loss in human cancer cells using single nucleotide polymorphism-based mapping arrays. Cancer Genet Cytogenet 170, 65-68." Briefly, The intensity of probe signals following hybridization to the GeneChip was determined using Affymetrix GeneChip Operating Software v1.2. The Affymetrix Copy Number Analysis Tool v2.1 was used to generate copy number calls for each of 57,290 discreet SNP markers, using the default genomic smoothing window setting of 0.5 Mb. Copy number (CN) calls were generated using the Affymetrix Dynamic Model.
!Sample_platform_id = GPL2005
!Sample_contact_name = Jay,,Johnson
!Sample_contact_email = johnsja4@memorialhealth.com
!Sample_contact_institute = Memorial Health University Medical Center
!Sample_contact_address = 4700 Waters Ave
!Sample_contact_city = Savannah
!Sample_contact_state = GA
!Sample_contact_zip/postal_code = 31404
!Sample_contact_country = USA
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM198nnn/GSM198670/suppl/GSM198670.CEL.gz
!Sample_series_id = GSE8046
!Sample_data_row_count = 59015
#ID_REF = Affymetrix SNP marker probe ID
#JP-052205-50KXba-93-185_Call = Genotype
#JP-052205-50KXba-93-185_SPA_CN = SPA copy number
#JP-052205-50KXba-93-185_SPA_pVal = SPA p-value
#VALUE = GSA Copy Number
#JP-052205-50KXba-93-185_GSA_pVal = GSA p-value
#JP-052205-50KXba-93-185_LOH = Likelihood that a SNP is in LOH state (closer to 1 indicates a strong likelihood of LOH)
!sample_table_begin
ID_REF	JP-052205-50KXba-93-185_Call	JP-052205-50KXba-93-185_SPA_CN	JP-052205-50KXba-93-185_SPA_pVal	VALUE	JP-052205-50KXba-93-185_GSA_pVal	JP-052205-50KXba-93-185_LOH
SNP_A-1677174	AA	1.75	-0.85	1.75	-0.85	1.25
SNP_A-1678466	BB	1.74	-0.66	2.22	0.99	1.25
SNP_A-1676440	AA	2.4	0.62	2.22	1	1.25
SNP_A-1662392	AA	2.52	0.97	2.09	0.47	1.25
SNP_A-1685736	AA	2.03	0.31	2.09	0.47	1.25
SNP_A-1681384	BB	2.11	0.39	2.09	0.46	1.25
SNP_A-1642581	BB	3.1	6.92	2.08	0.46	1.25
SNP_A-1669029	AA	1.62	-1.34	2.08	0.46	1.25
SNP_A-1718237	AB	1.5	-1.73	2.07	0.57	0
SNP_A-1748467	AB	1.68	-1.46	2.07	0.57	0
SNP_A-1705537	AA	2.59	1.48	2.38	0.95	2.5
SNP_A-1683756	AA	2.38	1.04	2.38	0.95	2.5
SNP_A-1696782	BB	2.29	0.57	2.59	1.58	2.5
SNP_A-1673422	BB	2.27	0.7	2.59	1.6	2.5
SNP_A-1670878	BB	2.47	0.91	2.47	1.37	2.5
SNP_A-1743511	BB	3.57	4.97	2.47	1.37	2.5
SNP_A-1736635	BB	1.78	-0.82	2.42	1.27	2.5
SNP_A-1666738	BB	2.4	1.78	2.41	1.17	2.5
SNP_A-1721407	AA	1.73	-0.69	2.18	0.54	2.5
SNP_A-1686722	AA	2.59	1.5	2.18	0.55	2.5
!sample_table_end
