^SAMPLE = GSM198454
!Sample_title = Tumor 2, Grade 1, Age 65, ALT-positive
!Sample_geo_accession = GSM198454
!Sample_status = Public on May 01 2008
!Sample_submission_date = Jun 06 2007
!Sample_last_update_date = Jun 07 2007
!Sample_type = genomic
!Sample_channel_count = 1
!Sample_source_name_ch1 = Liposarcoma
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = Tumor 2, Grade 1, Age 65, ALT-positive.
!Sample_biomaterial_provider_ch1 = Fox Chase Cancer Center Tumor Bank
!Sample_molecule_ch1 = genomic DNA
!Sample_extract_protocol_ch1 = Genomic DNA was prepared from tumor samples by SDS lysis, proteinase K treatment and phenol extraction. DNA was checked for purity using a NanoDrop spectrophotometer and for excessive shearing by agarose gel electrophoresis.
!Sample_label_ch1 = Biotin
!Sample_label_protocol_ch1 = An overview of Affymetrix SNP labeling protocol is available at: www.affymetrix.com. Briefly, tumor genomic DNA was subjected to restriction digestion by XbaI and the resulting fragments were ligated to adaptor sequences and PCR amplified. This PCR product was then fragmented by treatment with DNaseI, denatured to generate single stranded product and end-labeled by terminal deoxynucleotidyl transferase.
!Sample_label_protocol_ch1 =   
!Sample_hyb_protocol = See "Pei, J., Kruger, W.D., and Testa, J.R. (2006). High-resolution analysis of 9p loss in human cancer cells using single nucleotide polymorphism-based mapping arrays. Cancer Genet Cytogenet 170, 65-68."
!Sample_scan_protocol = See "Pei, J., Kruger, W.D., and Testa, J.R. (2006). High-resolution analysis of 9p loss in human cancer cells using single nucleotide polymorphism-based mapping arrays. Cancer Genet Cytogenet 170, 65-68."
!Sample_description = N/A
!Sample_data_processing = See "Pei, J., Kruger, W.D., and Testa, J.R. (2006). High-resolution analysis of 9p loss in human cancer cells using single nucleotide polymorphism-based mapping arrays. Cancer Genet Cytogenet 170, 65-68." Briefly, The intensity of probe signals following hybridization to the GeneChip was determined using Affymetrix GeneChip Operating Software v1.2. The Affymetrix Copy Number Analysis Tool v2.1 was used to generate copy number calls for each of 57,290 discreet SNP markers, using the default genomic smoothing window setting of 0.5 Mb. Copy number (CN) calls were generated using the Affymetrix Dynamic Model.
!Sample_platform_id = GPL2005
!Sample_contact_name = Jay,,Johnson
!Sample_contact_email = johnsja4@memorialhealth.com
!Sample_contact_institute = Memorial Health University Medical Center
!Sample_contact_address = 4700 Waters Ave
!Sample_contact_city = Savannah
!Sample_contact_state = GA
!Sample_contact_zip/postal_code = 31404
!Sample_contact_country = USA
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM198nnn/GSM198454/suppl/GSM198454.CEL.gz
!Sample_series_id = GSE8046
!Sample_data_row_count = 59015
#ID_REF = Affymetrix SNP marker probe ID
#JP-041705-50KXba-03-098_Call = Genotype
#JP-041705-50KXba-03-098_SPA_CN = SPA Copy Number
#JP-041705-50KXba-03-098_SPA_pVal = SPA p-value
#VALUE = GSA Copy Number
#JP-041705-50KXba-03-098_GSA_pVal = GSA p-value
#JP-041705-50KXba-03-098_LOH = Likelihood that a SNP is in LOH state (closer to 1 indicates a strong likelihood of LOH)
!sample_table_begin
ID_REF	JP-041705-50KXba-03-098_Call	JP-041705-50KXba-03-098_SPA_CN	JP-041705-50KXba-03-098_SPA_pVal	VALUE	JP-041705-50KXba-03-098_GSA_pVal	JP-041705-50KXba-03-098_LOH
SNP_A-1677174	AA	2.31	0.72	2.31	0.72	0.28
SNP_A-1678466	BB	2.48	0.77	2.91	1.99	0.28
SNP_A-1676440	AB	4.17	2.93	2.91	1.99	0
SNP_A-1662392	AB	2.79	1.71	2.75	1.68	0
SNP_A-1685736	AB	3.07	1.63	2.75	1.68	0
SNP_A-1681384	BB	2.55	1.18	2.75	1.68	0.32
SNP_A-1642581	BB	2.79	4.3	2.73	1.67	0.32
SNP_A-1669029	AB	2.44	1.52	2.73	1.67	0
SNP_A-1718237	AB	2.19	0.49	2.56	1.62	0
SNP_A-1748467	AB	2.16	0.52	2.56	1.62	0
SNP_A-1705537	AA	2.12	0.41	2.31	0.74	0.23
SNP_A-1683756	AB	2.29	0.96	2.31	0.74	0
SNP_A-1696782	BB	2.58	0.98	2.77	4.32	0.2
SNP_A-1673422	AB	2.27	0.62	2.78	4.42	0
SNP_A-1670878	AB	3.29	3.92	2.9	5.02	0
SNP_A-1743511	AB	4.19	20	2.9	5.02	0
SNP_A-1736635	BB	2.4	0.92	2.97	5.21	0.42
SNP_A-1666738	BB	2.56	2.86	2.98	4.53	0.42
SNP_A-1721407	AB	2.68	1.58	2.64	1.71	0
SNP_A-1686722	AA	2.67	1.72	2.64	1.71	0.12
!sample_table_end
