^SAMPLE = GSM322573
!Sample_title = VUMC_LGCIN5_b251495015494_s129_3
!Sample_geo_accession = GSM322573
!Sample_status = Public on Feb 20 2009
!Sample_submission_date = Sep 19 2008
!Sample_last_update_date = Feb 20 2009
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = uterine cervix
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cervical intraepithelial neoplasia (CIN) lesion, grade 1
!Sample_molecule_ch1 = genomic DNA
!Sample_extract_protocol_ch1 = as described in Van zeeburg et al, Cancer Res, volume 65, p 1271-76, 2005
!Sample_label_ch1 = Cy3
!Sample_label_protocol_ch1 = as described by Snijders et al, Nat Genetics, volume 29, p 263-4
!Sample_source_name_ch2 = Reference DNA
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_characteristics_ch2 = Pooled DNA from the blood of 10 normal male individuals
!Sample_molecule_ch2 = genomic DNA
!Sample_extract_protocol_ch2 = as described in Wilting et al, J Pathol, volume 209, p 220-30
!Sample_label_ch2 = Cy5
!Sample_label_protocol_ch2 = as ch1, Cy5 in stead of Cy3
!Sample_hyb_protocol = hybridisations were performed according to the manufacturer's instructions (Agilent Technologies)
!Sample_scan_protocol = Microarray Scanner G2505B (Agilent Technologies), default settings
!Sample_description = CIN1 lesion, patient age 38 years, contains high risk Human Papilloma Virus
!Sample_data_processing = Spots were quantified in Feature Extraction software version 9.5.1 (Agilent Technologies) using default settings.
!Sample_platform_id = GPL5477
!Sample_contact_name = Daoud,,Sie
!Sample_contact_email = d.sie@vumc.nl
!Sample_contact_phone = +31 20 4442428
!Sample_contact_laboratory = Microarray Core Facility
!Sample_contact_department = Pathology
!Sample_contact_institute = Vrije Universiteit Medical Center
!Sample_contact_address = De Boelelaan 1117
!Sample_contact_city = Amsterdam
!Sample_contact_zip/postal_code = 1081 HV
!Sample_contact_country = Netherlands
!Sample_supplementary_file = NONE
!Sample_series_id = GSE11573
!Sample_data_row_count = 45220
#ID_REF = 
#Signal Median CH1 = Spot signal in channel 1 (Cy3)
#Background Median CH1 = Background signal channel 1 (Cy3)
#Signal Median CH2 = Spot signal in channel 2 (Cy5)
#Background Median CH2 = Background signal channel 2 (Cy5)
#VALUE = Normalized log2 ratio of the test (Cy3)/ reference (Cy5) sample
!sample_table_begin
ID_REF	Signal Median CH1	Background Median CH1	Signal Median CH2	Background Median CH2	VALUE
1	8145	87	11031	88	
2	104	86	102	88	
3	91	85	106.5	91	
4	93	87	93	91	
5	97	88	103	88	
6	99	85.5	99.5	91	
7	92	84	105.5	90	
8	99.5	86	103	88	
9	104	88	103	88	
10	99	87	106	88	
11	98	88	96.5	90	
12	1389	87	1242	86.5	0.548
13	1911.5	88	2964.5	88	-0.202
14	5183	86	6288	88	0.198
15	1196.5	86	1630.5	88	-0.176
16	1638	86	2850	87	-0.235
17	3165	86	3349	89	0.278
18	988	84	1463.5	91	-0.294
19	591.5	88	1168	90	-0.667
20	808	87	1425.5	91	-0.676
!sample_table_end
