^SAMPLE = GSM193822
!Sample_title = Case 1, HG DCIS, Grade 3, CGH experiment
!Sample_geo_accession = GSM193822
!Sample_status = Public on Nov 24 2008
!Sample_submission_date = May 23 2007
!Sample_last_update_date = Nov 18 2008
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = Case 1, HG DCIS, Grade 3, CGH experiment
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = Sample Type:HG DCIS;Grade:3
!Sample_molecule_ch1 = genomic DNA
!Sample_extract_protocol_ch1 = DCIS foci were isolated from 10 micrometer serial frozen tissue sections by laser capture microdissection (PALM Microlaser Technologies AG, Bernried, Germany), guided by interval sections stained with haematoxylin and eosin. In addition, LCIS and co-existing areas of atypical ductal hyperplasia (ADH), proliferative disease without atypia (PDWA) and benign epithelium were sampled from a proportion of cases. For in situ lesions care was taken to capture pure intraduct cell populations. Benign epithelium samples were lobular tissue collected with intralobular stroma. 
!Sample_extract_protocol_ch1 = 
!Sample_extract_protocol_ch1 = DNA was extracted from laser microdissected material using the QIAamp DNA Micro Kit (Qiagen Inc., Valencia, CA, USA) and quantitated using the PicoGreen dsDNA Quantitation Reagent (Molecular Probes) both according to the manufacturers instructions. Ten nanograms of DNA was amplified using the GenomiPhi DNA Amplification Kit (Amersham Biosciences, Piscataway, NJ, NY) according to the manufacturerâs instructions.
!Sample_label_ch1 = Cy3
!Sample_label_protocol_ch1 = DNA was labelled with the Bioprime Kit (Invitrogen) using a modified protocol. Briefly, 3 micrograms of amplified test and reference DNA were directly labelled with either Cy3-dUTP or Cy5-dUTP (see Supplementary Methods for detailed description of labelling protocol). Samples were hybridised to the same oligonucleotide microarrays used for gene expression profiling.
!Sample_source_name_ch2 = Promega Normal male genomic DNA
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_characteristics_ch2 = Promega Normal male DNA
!Sample_molecule_ch2 = genomic DNA
!Sample_extract_protocol_ch2 = DCIS foci were isolated from 10 micrometer serial frozen tissue sections by laser capture microdissection (PALM Microlaser Technologies AG, Bernried, Germany), guided by interval sections stained with haematoxylin and eosin. In addition, LCIS and co-existing areas of atypical ductal hyperplasia (ADH), proliferative disease without atypia (PDWA) and benign epithelium were sampled from a proportion of cases. For in situ lesions care was taken to capture pure intraduct cell populations. Benign epithelium samples were lobular tissue collected with intralobular stroma. 
!Sample_extract_protocol_ch2 = 
!Sample_extract_protocol_ch2 = DNA was extracted from laser microdissected material using the QIAamp DNA Micro Kit (Qiagen Inc., Valencia, CA, USA) and quantitated using the PicoGreen dsDNA Quantitation Reagent (Molecular Probes) both according to the manufacturers instructions. Ten nanograms of DNA was amplified using the GenomiPhi DNA Amplification Kit (Amersham Biosciences, Piscataway, NJ, NY) according to the manufacturerâs instructions.
!Sample_label_ch2 = Cy5
!Sample_label_protocol_ch2 = DNA was labelled with the Bioprime Kit (Invitrogen) using a modified protocol. Briefly, 3 micrograms of amplified test and reference DNA were directly labelled with either Cy3-dUTP or Cy5-dUTP (see Supplementary Methods for detailed description of labelling protocol). Samples were hybridised to the same oligonucleotide microarrays used for gene expression profiling.
!Sample_hyb_protocol = See label protocol
!Sample_scan_protocol = Agilent scanner
!Sample_description = Case 1, HG DCIS, Grade 3, CGH experiment
!Sample_data_processing = Median-centered Log2 ratio
!Sample_platform_id = GPL5326
!Sample_contact_name = Sean,,Davis
!Sample_contact_email = sdavis2@mail.nih.gov
!Sample_contact_phone = 301-435-2652
!Sample_contact_laboratory = Genetics Branch
!Sample_contact_institute = National Cancer Institute
!Sample_contact_address = 37 Convent Drive, Room 6138
!Sample_contact_city = Bethesda
!Sample_contact_state = MD
!Sample_contact_zip/postal_code = 20892
!Sample_contact_country = USA
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM193nnn/GSM193822/suppl/GSM193822.txt.gz
!Sample_series_id = GSE7882
!Sample_data_row_count = 36288
#ID_REF = ID in platform
#Red Intensity = Background-subtracted Red Intensity
#Green Intensity = Background-subtracted Green Intensity
#VALUE = Log2 Ratio
!sample_table_begin
ID_REF	Red Intensity	Green Intensity	VALUE
1	382.3	329.7	0.115039858456077
2	3173.8	1360	0.568660100079125
3	1386	523.1	0.358601847905863
4	1759.8	1228.5	0.388680713704291
5	3215	2559.8	-0.256751657546607
6	802.5	634	-0.633140541129514
7	1630.2	706.3	-0.66989050711006
8	1816.1	1107.2	-0.277721063669341
9	2566.6	838.3	-0.217203998773156
10	1138.6	475.1	-1.77539442272843
11	1071.5	713.7	-0.404879040549057
12	2255.8	1528.6	-0.641287093424754
13	851.1	515.1	-0.0176309356323507
14	1104.6	440.2	0.14409168742292
15	2011.9	487.7	-0.129500644219053
16	623.4	354.3	-0.133025153860807
17	911.2	277.2	-1.05357548418330
18	2254	1063.9	-0.870601012219782
19	2121.1	1012	-1.22219601896438
20	441	289.2	-0.348709281077181
!sample_table_end
