^SAMPLE = GSM284821
!Sample_title = Oral97
!Sample_geo_accession = GSM284821
!Sample_status = Public on Jul 01 2009
!Sample_submission_date = Apr 26 2008
!Sample_last_update_date = Feb 20 2009
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = Oral_Specimen_97
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = Formalin-fixed paraffin-embedded oral specimen.
!Sample_molecule_ch1 = genomic DNA
!Sample_extract_protocol_ch1 = All lesions were microdissected, and the dissected tissues were places in sodium dodecyl sulfate/proteinase K at 55Â°C and spiked twice a day for 72 hours with fresh proteinase K. Genomic DNA was extracted with phenol/chloroform and  with ethanol.
!Sample_label_ch1 = Cy3
!Sample_label_protocol_ch1 = Random prime probe labeling was performed to label sample and reference genomic DNA (250ng each).  Each reaction was labeled with either 2 nmol of cyanine-3 or cyanine-5 dCTP.
!Sample_source_name_ch2 = normal female
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_characteristics_ch2 = Novagen pooled normal female genomic DNA.
!Sample_molecule_ch2 = genomic DNA
!Sample_extract_protocol_ch2 = Purchased genomic DNA.
!Sample_label_ch2 = Cy5
!Sample_label_protocol_ch2 = Random prime probe labeling was performed to label sample and reference genomic DNA (250ng each). Each reaction was labeled with either 2 nmol of cyanine-3 or cyanine-5 dCTP.
!Sample_hyb_protocol = Probes were combined, denatured and annealed in a solution containing 100 ug human Cot-1 DNA (Invitrogen) and 48 ul DIG Easy hybridization solution (Roche) containing sheared herring sperm DNA (Sigma-Aldrich) and yeast tRNA (Calbiochem). Probe was denautred at 85Â°C for 5 minutes, and repetitive sequences were blocked at 45Â°C for 1 hour prior to hybridization. The probe mixture was applied to the slide surface and hybridized for 36 hrs at 45Â°C. The arrays were washed 5 times in 0.1X SSC, 0.1% SDS at room temperature with agitation. Each array was then rinsed repeatedly in 0.1X SSC and dried by centrifugation.
!Sample_scan_protocol = A charge-coupled device (CCD) scanner system (ARrayworx eAuto, API, Issaquah, WA) was used to determine the signal intensities of the Cyanine 5/Cyanine3 channels. Arrays were scanned at a 9.75um resolution; exposure times for each image wavelength were usually between 0.2 to 2 sec. Images were analyzed by SoftWoRx Tracker analysis software (Applied Precision, Issaquah, WA, USA).
!Sample_description = N/A
!Sample_data_processing = A three-step normalization procedure [Khojasteh et al. BMC Bioinformatics 6:274, 2005] was performed to each raw data.
!Sample_platform_id = GPL2616
!Sample_contact_name = T,,Buys
!Sample_contact_laboratory = Wan Lam Lab
!Sample_contact_department = Cancer Genetics and Developmental Biology
!Sample_contact_institute = British Columbia Cancer Research Centre
!Sample_contact_address = 675 W.10th Avenue
!Sample_contact_city = Vancouver
!Sample_contact_state = BC
!Sample_contact_zip/postal_code = V5Z 1L3
!Sample_contact_country = Canada
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM284nnn/GSM284821/suppl/GSM284821.txt.gz
!Sample_series_id = GSE11275
!Sample_data_row_count = 53856
#ID_REF = 
#Spot Mean Intensity (00057374_w595) = Mean intensity of spot for Cy3 channel
#Spot Mean Intensity (00057374_w685) = Mean intensity of spot for Cy5 channel
#Background Median Intensity (00057374_w595) = Median signal intensity from area around spot for Cy3 channel
#Background Median Intensity (00057374_w685) = Median signal intensity from area around spot for Cy5 channel
#Spot Normalized Intensity (00057374_w595) = Locally normalized value for mean intensity of spot for Cy3 channel
#Spot Normalized Intensity (00057374_w685) = Locally normalized value for mean intensity of spot for Cy5 channel
#Spot SNR (00057374_w595) = Column "Spot Mean Intensity (w595)" divided by column "Background Median Intensity (w595)"
#Spot SNR (00057374_w685) = Column "Spot Mean Intensity (w685)" divided by column "Background Median Intensity (w685)"
#Spot Ratio (00057374_w595) = Column "Spot Normalized Intensity (w595)" divided by column "Spot Normalized Intensity (w685)"
#Spot Ratio (00057374_w685) = Column "Spot Normalized Intensity (w685)" divided by column "Spot Normalized Intensity (w595)"
#Spot Log2 Ratio (00057374_w595) = log2 for column labeled "Spot Ratio (595)"
#VALUE = log 2 ratio test/reference (Spot log2 ratio (w595) column following spatial bias normalization)
!sample_table_begin
ID_REF	Spot Mean Intensity (00057374_w595)	Spot Mean Intensity (00057374_w685)	Background Median Intensity (00057374_w595)	Background Median Intensity (00057374_w685)	Spot Normalized Intensity (00057374_w595)	Spot Normalized Intensity (00057374_w685)	Spot SNR (00057374_w595)	Spot SNR (00057374_w685)	Spot Ratio (00057374_w595)	Spot Ratio (00057374_w685)	Spot Log2 Ratio (00057374_w595)	VALUE
1	590.803	879.658	240	362	350.803	517.658	25.29976	35.1113	1.126509	0.8875284	0.1718584	0.019968
2	836.816	1137.276	244	364	592.816	773.276	50.0365	52.2064	1.274384	0.7845423	0.3498006	0.168771
3	523.648	719.307	240	362	283.6477	357.307	26.39569	24.34824	1.319631	0.7576425	0.4001346	0.231876
4	646.598	851.304	240	366	406.598	485.304	36.9219	35.8904	1.392727	0.7178782	0.4779126	0.313951
5	739.82	1031.01	241	359.5	498.82	671.51	40.246	56.7624	1.234826	0.8096753	0.3043083	0.128786
6	896.22	1225.69	236	360	660.22	865.69	54.382	70.8168	1.267771	0.7886349	0.3422942	0.154496
7	824.465	1071.881	239.5	360.5	584.965	711.381	53.6564	52.8377	1.366917	0.731433	0.4509261	0.270493
8	571.117	763.485	234.5	362.5	336.617	400.985	24.62706	30.89314	1.395473	0.7164658	0.4807541	0.315395
9	771.6	1143.829	238	367	533.6	776.829	41.2579	60.6955	1.14184	0.875612	0.1913601	0.010966
10	482.543	694.686	235	362	247.5428	332.686	10.79374	24.16191	1.236889	0.8083251	0.3067161	0.16221
11	547.284	792.176	239	357	308.2838	435.176	20.80556	28.70748	1.177608	0.8490165	0.2358591	0.091899
12	495.085	718.676	240	356	255.0845	362.676	18.94412	21.76099	1.169176	0.8551398	0.2254915	0.076664
13	682.947	1014.197	238.5	359.5	444.447	654.697	34.9419	41.7629	1.128481	0.8859771	0.1743823	0.017262
14	740.259	953.173	238.5	359	501.759	594.173	41.5814	43.1298	1.403774	0.712229	0.4893106	0.332217
15	570.963	852.598	238	360	332.963	492.598	26.43164	34.7079	1.123618	0.8898113	0.1681522	0.023445
16	594.423	811.479	237	363.5	357.423	447.979	30.36987	36.0601	1.326291	0.7538377	0.4073978	0.263037
17	667.099	884.617	238	363	429.099	521.617	34.2512	41.6393	1.367476	0.7311341	0.4515158	0.295176
18	564.648	819.341	237.5	361	327.148	458.341	27.09709	32.218	1.186509	0.8426474	0.2467228	-0.025811
19	581.301	829.72	238	360	343.301	469.72	30.40326	33.7912	1.214927	0.822937	0.2808699	0.088439
20	656.326	896.786	239.5	360	416.826	536.786	33.2398	35.6568	1.290826	0.7745495	0.3682943	0.165964
!sample_table_end
