^SAMPLE = GSM503030
!Sample_title = LoVo-92/cOHP oxaliplatin resistant
!Sample_geo_accession = GSM503030
!Sample_status = Public on Mar 01 2014
!Sample_submission_date = Feb 01 2010
!Sample_last_update_date = Mar 01 2014
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = LoVo-92/cOHP
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell line: LoVo-92/cOHP
!Sample_treatment_protocol_ch1 = Induced resistance to oxaliplatin with increasing concentrations. Weekly exposure of 72hrs
!Sample_growth_protocol_ch1 = LoVo-92/cOHP cells were maintained in RPMI supplemented with 10% FCS
!Sample_molecule_ch1 = genomic DNA
!Sample_extract_protocol_ch1 = DNA was isolated using the Wizard Genomic DNA Purification kit (Promega Benelux, Leiden, The Netherlands) according the manufacturerâs protocol.
!Sample_label_ch1 = Cy5
!Sample_label_protocol_ch1 = DNA labeling protocol according to Enzo Life Sciences
!Sample_source_name_ch2 = LoVo-92
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_characteristics_ch2 = cell line: LoVo-92 (parental)
!Sample_growth_protocol_ch2 = LoVo-92 cells were maintained in RPMI supplemented with 10% FCS
!Sample_molecule_ch2 = genomic DNA
!Sample_extract_protocol_ch2 = DNA was isolated using the Wizard Genomic DNA Purification kit (Promega Benelux, Leiden, The Netherlands) according the manufacturerâs protocol.
!Sample_label_ch2 = Cy3
!Sample_label_protocol_ch2 = DNA labeling protocol according to Enzo Life Sciences
!Sample_hyb_protocol = Hybridization protocol available via www.agilent.com
!Sample_scan_protocol = Slides were scanned using the Agilent microarray scanner, protocol according to Agilent.
!Sample_description = protocols according to manufacturer (Enzo Life Sciences www.agilent.com)
!Sample_data_processing = Images were auto gridded, analyzed and data extracted using Agilent Feature Extraction software (version 9.5.1.1). Raw expression data generated by the Feature Extraction software was normalised and smoothend using the R-script "NOWAVE" as described in: Smoothing waves in array CGH tumor profiles, Bioinformatics. 2009 May 1;25(9):1099-104.
!Sample_platform_id = GPL5477
!Sample_contact_name = Daoud,,Sie
!Sample_contact_email = d.sie@vumc.nl
!Sample_contact_phone = +31 20 4442428
!Sample_contact_laboratory = Microarray Core Facility
!Sample_contact_department = Pathology
!Sample_contact_institute = Vrije Universiteit Medical Center
!Sample_contact_address = De Boelelaan 1117
!Sample_contact_city = Amsterdam
!Sample_contact_zip/postal_code = 1081 HV
!Sample_contact_country = Netherlands
!Sample_supplementary_file = NONE
!Sample_series_id = GSE20144
!Sample_data_row_count = 45214
#ID_REF = 
#VALUE = norm log2 ratio (resistant/parental)
#MAL_251495014120_S01_CGH_v4_95_Feb07_1_2_rBGSubSignal = LoVo-92/cOHP
#MAL_251495014120_S01_CGH_v4_95_Feb07_1_2_gBGSubSignal = LoVo-92
!sample_table_begin
ID_REF	VALUE	MAL_251495014120_S01_CGH_v4_95_Feb07_1_2_rBGSubSignal	MAL_251495014120_S01_CGH_v4_95_Feb07_1_2_gBGSubSignal
1		9048.82	3433.4
2	-0.041627	-23.1098	-6.6782
3	0.337573	-25.8833	-9.41366
4	0.476573	-23.2897	-8.2914
5	0.230573	-27.058	-7.48323
6	0.031873	-23.1045	-6.74631
7	0.429573	-21.522	-8.19229
8	0.140573	-21.1014	-6.76469
9	0.206573	-28.1145	-5.90733
10	0.517573	-22.8196	-5.62189
11	0.155573	-18.4511	-8.13553
12	0.128573	2387.68	888.675
13		2913.47	1162.11
14	-0.032127	15851.1	5196.05
15	-0.136427	1487.08	598.207
16	0.085073	2688.15	1050.38
17	-0.053427	6740.56	2650.09
18	-0.037827	1038.47	499.146
19	0.178573	723.869	362.136
20	0.231573	1079.6	466.679
!sample_table_end
